date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,UAE Dirham,AED,784,Yen,JPY,392,42.01,40.65,41.33
2024-12-11,UAE Dirham,AED,784,Yen,JPY,392,42.09,40.73,41.41
2024-12-12,UAE Dirham,AED,784,Yen,JPY,392,42.24,40.88,41.56
2024-12-13,UAE Dirham,AED,784,Yen,JPY,392,42.41,41.05,41.73
2024-12-16,UAE Dirham,AED,784,Yen,JPY,392,42.65,41.29,41.97
2024-12-17,UAE Dirham,AED,784,Yen,JPY,392,42.75,41.39,42.07
2024-12-18,UAE Dirham,AED,784,Yen,JPY,392,42.61,41.25,41.93
2024-12-19,UAE Dirham,AED,784,Yen,JPY,392,42.93,41.57,42.25
2024-12-20,UAE Dirham,AED,784,Yen,JPY,392,43.75,42.39,43.07
2024-12-23,UAE Dirham,AED,784,Yen,JPY,392,43.42,42.06,42.74
2024-12-24,UAE Dirham,AED,784,Yen,JPY,392,43.62,42.26,42.94
2024-12-25,UAE Dirham,AED,784,Yen,JPY,392,43.46,42.1,42.78
2024-12-26,UAE Dirham,AED,784,Yen,JPY,392,43.61,42.25,42.93
2024-12-27,UAE Dirham,AED,784,Yen,JPY,392,43.82,42.46,43.14
2024-12-30,UAE Dirham,AED,784,Yen,JPY,392,43.82,42.46,43.14
