date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,UAE Dirham,AED,784,Yen,JPY,392,43.69,42.33,43.01
2025-01-07,UAE Dirham,AED,784,Yen,JPY,392,43.83,42.47,43.15
2025-01-08,UAE Dirham,AED,784,Yen,JPY,392,43.79,42.43,43.11
2025-01-09,UAE Dirham,AED,784,Yen,JPY,392,43.88,42.52,43.2
2025-01-10,UAE Dirham,AED,784,Yen,JPY,392,43.82,42.46,43.14
2025-01-14,UAE Dirham,AED,784,Yen,JPY,392,43.65,42.29,42.97
2025-01-15,UAE Dirham,AED,784,Yen,JPY,392,43.79,42.43,43.11
2025-01-16,UAE Dirham,AED,784,Yen,JPY,392,43.35,41.99,42.67
2025-01-17,UAE Dirham,AED,784,Yen,JPY,392,43.02,41.66,42.34
2025-01-20,UAE Dirham,AED,784,Yen,JPY,392,43.24,41.88,42.56
2025-01-21,UAE Dirham,AED,784,Yen,JPY,392,43.25,41.89,42.57
2025-01-22,UAE Dirham,AED,784,Yen,JPY,392,43.1,41.74,42.42
2025-01-23,UAE Dirham,AED,784,Yen,JPY,392,43.37,42.01,42.69
2025-01-24,UAE Dirham,AED,784,Yen,JPY,392,43.31,41.95,42.63
2025-01-27,UAE Dirham,AED,784,Yen,JPY,392,43.11,41.75,42.43
2025-01-28,UAE Dirham,AED,784,Yen,JPY,392,42.98,41.62,42.3
2025-01-29,UAE Dirham,AED,784,Yen,JPY,392,43.13,41.77,42.45
2025-01-30,UAE Dirham,AED,784,Yen,JPY,392,42.88,41.52,42.2
2025-01-31,UAE Dirham,AED,784,Yen,JPY,392,42.8,41.44,42.12
2025-02-03,UAE Dirham,AED,784,Yen,JPY,392,43.14,41.78,42.46
2025-02-04,UAE Dirham,AED,784,Yen,JPY,392,43.04,41.68,42.36
2025-02-05,UAE Dirham,AED,784,Yen,JPY,392,42.7,41.34,42.02
2025-02-06,UAE Dirham,AED,784,Yen,JPY,392,42.3,40.94,41.62
2025-02-07,UAE Dirham,AED,784,Yen,JPY,392,41.94,40.58,41.26
2025-02-10,UAE Dirham,AED,784,Yen,JPY,392,42.12,40.76,41.44
2025-02-12,UAE Dirham,AED,784,Yen,JPY,392,42.47,41.11,41.79
2025-02-13,UAE Dirham,AED,784,Yen,JPY,392,42.82,41.46,42.14
2025-02-14,UAE Dirham,AED,784,Yen,JPY,392,42.35,40.99,41.67
2025-02-17,UAE Dirham,AED,784,Yen,JPY,392,42.11,40.75,41.43
2025-02-18,UAE Dirham,AED,784,Yen,JPY,392,42.04,40.68,41.36
2025-02-19,UAE Dirham,AED,784,Yen,JPY,392,42.17,40.81,41.49
2025-02-20,UAE Dirham,AED,784,Yen,JPY,392,41.89,40.53,41.21
2025-02-21,UAE Dirham,AED,784,Yen,JPY,392,41.55,40.19,40.87
2025-02-25,UAE Dirham,AED,784,Yen,JPY,392,41.65,40.29,40.97
2025-02-26,UAE Dirham,AED,784,Yen,JPY,392,41.29,39.93,40.61
2025-02-27,UAE Dirham,AED,784,Yen,JPY,392,41.39,40.03,40.71
2025-02-28,UAE Dirham,AED,784,Yen,JPY,392,41.37,40.01,40.69
2025-03-03,UAE Dirham,AED,784,Yen,JPY,392,41.6,40.24,40.92
2025-03-04,UAE Dirham,AED,784,Yen,JPY,392,41.39,40.03,40.71
2025-03-05,UAE Dirham,AED,784,Yen,JPY,392,41.42,40.06,40.74
2025-03-06,UAE Dirham,AED,784,Yen,JPY,392,41.39,40.03,40.71
2025-03-07,UAE Dirham,AED,784,Yen,JPY,392,40.93,39.57,40.25
2025-03-10,UAE Dirham,AED,784,Yen,JPY,392,40.88,39.52,40.2
