date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,UAE Dirham,AED,784,Yen,JPY,392,43.69,42.33,43.01
2025-01-07,UAE Dirham,AED,784,Yen,JPY,392,43.83,42.47,43.15
2025-01-08,UAE Dirham,AED,784,Yen,JPY,392,43.79,42.43,43.11
2025-01-09,UAE Dirham,AED,784,Yen,JPY,392,43.88,42.52,43.2
2025-01-10,UAE Dirham,AED,784,Yen,JPY,392,43.82,42.46,43.14
2025-01-14,UAE Dirham,AED,784,Yen,JPY,392,43.65,42.29,42.97
2025-01-15,UAE Dirham,AED,784,Yen,JPY,392,43.79,42.43,43.11
2025-01-16,UAE Dirham,AED,784,Yen,JPY,392,43.35,41.99,42.67
2025-01-17,UAE Dirham,AED,784,Yen,JPY,392,43.02,41.66,42.34
2025-01-20,UAE Dirham,AED,784,Yen,JPY,392,43.24,41.88,42.56
2025-01-21,UAE Dirham,AED,784,Yen,JPY,392,43.25,41.89,42.57
2025-01-22,UAE Dirham,AED,784,Yen,JPY,392,43.1,41.74,42.42
2025-01-23,UAE Dirham,AED,784,Yen,JPY,392,43.37,42.01,42.69
2025-01-24,UAE Dirham,AED,784,Yen,JPY,392,43.31,41.95,42.63
2025-01-27,UAE Dirham,AED,784,Yen,JPY,392,43.11,41.75,42.43
2025-01-28,UAE Dirham,AED,784,Yen,JPY,392,42.98,41.62,42.3
2025-01-29,UAE Dirham,AED,784,Yen,JPY,392,43.13,41.77,42.45
2025-01-30,UAE Dirham,AED,784,Yen,JPY,392,42.88,41.52,42.2
2025-01-31,UAE Dirham,AED,784,Yen,JPY,392,42.8,41.44,42.12
