date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Australian Dollar,AUD,036,Yen,JPY,392,99.43,95.43,97.43
2024-12-11,Australian Dollar,AUD,036,Yen,JPY,392,98.9,94.9,96.9
2024-12-12,Australian Dollar,AUD,036,Yen,JPY,392,99.58,95.58,97.58
2024-12-13,Australian Dollar,AUD,036,Yen,JPY,392,99.41,95.41,97.41
2024-12-16,Australian Dollar,AUD,036,Yen,JPY,392,100.03,96.03,98.03
2024-12-17,Australian Dollar,AUD,036,Yen,JPY,392,100.3,96.3,98.3
2024-12-18,Australian Dollar,AUD,036,Yen,JPY,392,99.33,95.33,97.33
2024-12-19,Australian Dollar,AUD,036,Yen,JPY,392,98.36,94.36,96.36
2024-12-20,Australian Dollar,AUD,036,Yen,JPY,392,100.36,96.36,98.36
2024-12-23,Australian Dollar,AUD,036,Yen,JPY,392,100.,96.,98.
2024-12-24,Australian Dollar,AUD,036,Yen,JPY,392,100.23,96.23,98.23
2024-12-25,Australian Dollar,AUD,036,Yen,JPY,392,100.05,96.05,98.05
2024-12-26,Australian Dollar,AUD,036,Yen,JPY,392,100.27,96.27,98.27
2024-12-27,Australian Dollar,AUD,036,Yen,JPY,392,100.42,96.42,98.42
2024-12-30,Australian Dollar,AUD,036,Yen,JPY,392,100.5,96.5,98.5
