date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Australian Dollar,AUD,036,Yen,JPY,392,100.27,96.27,98.27
2025-01-07,Australian Dollar,AUD,036,Yen,JPY,392,100.86,96.86,98.86
2025-01-08,Australian Dollar,AUD,036,Yen,JPY,392,100.38,96.38,98.38
2025-01-09,Australian Dollar,AUD,036,Yen,JPY,392,100.24,96.24,98.24
2025-01-10,Australian Dollar,AUD,036,Yen,JPY,392,99.93,95.93,97.93
2025-01-14,Australian Dollar,AUD,036,Yen,JPY,392,99.43,95.43,97.43
2025-01-15,Australian Dollar,AUD,036,Yen,JPY,392,99.8,95.8,97.8
2025-01-16,Australian Dollar,AUD,036,Yen,JPY,392,99.55,95.55,97.55
2025-01-17,Australian Dollar,AUD,036,Yen,JPY,392,98.41,94.41,96.41
2025-01-20,Australian Dollar,AUD,036,Yen,JPY,392,98.82,94.82,96.82
2025-01-21,Australian Dollar,AUD,036,Yen,JPY,392,99.25,95.25,97.25
2025-01-22,Australian Dollar,AUD,036,Yen,JPY,392,99.62,95.62,97.62
2025-01-23,Australian Dollar,AUD,036,Yen,JPY,392,100.17,96.17,98.17
2025-01-24,Australian Dollar,AUD,036,Yen,JPY,392,100.22,96.22,98.22
2025-01-27,Australian Dollar,AUD,036,Yen,JPY,392,99.93,95.93,97.93
2025-01-28,Australian Dollar,AUD,036,Yen,JPY,392,99.22,95.22,97.22
2025-01-29,Australian Dollar,AUD,036,Yen,JPY,392,99.05,95.05,97.05
2025-01-30,Australian Dollar,AUD,036,Yen,JPY,392,98.52,94.52,96.52
2025-01-31,Australian Dollar,AUD,036,Yen,JPY,392,97.87,93.87,95.87
