date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Canadian Dollar,CAD,124,Yen,JPY,392,108.51,105.31,106.91
2024-12-11,Canadian Dollar,CAD,124,Yen,JPY,392,108.77,105.57,107.17
2024-12-12,Canadian Dollar,CAD,124,Yen,JPY,392,109.35,106.15,107.75
2024-12-13,Canadian Dollar,CAD,124,Yen,JPY,392,109.17,105.97,107.57
2024-12-16,Canadian Dollar,CAD,124,Yen,JPY,392,109.83,106.63,108.23
2024-12-17,Canadian Dollar,CAD,124,Yen,JPY,392,109.99,106.79,108.39
2024-12-18,Canadian Dollar,CAD,124,Yen,JPY,392,109.01,105.81,107.41
2024-12-19,Canadian Dollar,CAD,124,Yen,JPY,392,108.81,105.61,107.21
2024-12-20,Canadian Dollar,CAD,124,Yen,JPY,392,111.12,107.92,109.52
2024-12-23,Canadian Dollar,CAD,124,Yen,JPY,392,110.74,107.54,109.14
2024-12-24,Canadian Dollar,CAD,124,Yen,JPY,392,111.05,107.85,109.45
2024-12-25,Canadian Dollar,CAD,124,Yen,JPY,392,111.07,107.87,109.47
2024-12-26,Canadian Dollar,CAD,124,Yen,JPY,392,111.25,108.05,109.65
2024-12-27,Canadian Dollar,CAD,124,Yen,JPY,392,111.36,108.16,109.76
2024-12-30,Canadian Dollar,CAD,124,Yen,JPY,392,111.37,108.17,109.77
