date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Canadian Dollar,CAD,124,Yen,JPY,392,110.88,107.68,109.28
2025-01-07,Canadian Dollar,CAD,124,Yen,JPY,392,111.94,108.74,110.34
2025-01-08,Canadian Dollar,CAD,124,Yen,JPY,392,111.67,108.47,110.07
2025-01-09,Canadian Dollar,CAD,124,Yen,JPY,392,111.77,108.57,110.17
2025-01-10,Canadian Dollar,CAD,124,Yen,JPY,392,111.45,108.25,109.85
2025-01-14,Canadian Dollar,CAD,124,Yen,JPY,392,111.21,108.01,109.61
2025-01-15,Canadian Dollar,CAD,124,Yen,JPY,392,111.71,108.51,110.11
2025-01-16,Canadian Dollar,CAD,124,Yen,JPY,392,110.78,107.58,109.18
2025-01-17,Canadian Dollar,CAD,124,Yen,JPY,392,109.41,106.21,107.81
2025-01-20,Canadian Dollar,CAD,124,Yen,JPY,392,109.51,106.31,107.91
2025-01-21,Canadian Dollar,CAD,124,Yen,JPY,392,109.44,106.24,107.84
2025-01-22,Canadian Dollar,CAD,124,Yen,JPY,392,110.21,107.01,108.61
2025-01-23,Canadian Dollar,CAD,124,Yen,JPY,392,110.33,107.13,108.73
2025-01-24,Canadian Dollar,CAD,124,Yen,JPY,392,110.34,107.14,108.74
2025-01-27,Canadian Dollar,CAD,124,Yen,JPY,392,109.83,106.63,108.23
2025-01-28,Canadian Dollar,CAD,124,Yen,JPY,392,109.4,106.2,107.8
2025-01-29,Canadian Dollar,CAD,124,Yen,JPY,392,109.69,106.49,108.09
2025-01-30,Canadian Dollar,CAD,124,Yen,JPY,392,109.01,105.81,107.41
2025-01-31,Canadian Dollar,CAD,124,Yen,JPY,392,108.09,104.89,106.49
