date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Yuan Renminbi,CNY,156,Yen,JPY,392,21.15,20.55,20.85
2024-12-11,Yuan Renminbi,CNY,156,Yen,JPY,392,21.22,20.62,20.92
2024-12-12,Yuan Renminbi,CNY,156,Yen,JPY,392,21.25,20.65,20.95
2024-12-13,Yuan Renminbi,CNY,156,Yen,JPY,392,21.34,20.74,21.04
2024-12-16,Yuan Renminbi,CNY,156,Yen,JPY,392,21.45,20.85,21.15
2024-12-17,Yuan Renminbi,CNY,156,Yen,JPY,392,21.46,20.86,21.16
2024-12-18,Yuan Renminbi,CNY,156,Yen,JPY,392,21.4,20.8,21.1
2024-12-19,Yuan Renminbi,CNY,156,Yen,JPY,392,21.47,20.87,21.17
2024-12-20,Yuan Renminbi,CNY,156,Yen,JPY,392,21.9,21.3,21.6
2024-12-23,Yuan Renminbi,CNY,156,Yen,JPY,392,21.78,21.18,21.48
2024-12-24,Yuan Renminbi,CNY,156,Yen,JPY,392,21.85,21.25,21.55
2024-12-25,Yuan Renminbi,CNY,156,Yen,JPY,392,21.84,21.24,21.54
2024-12-26,Yuan Renminbi,CNY,156,Yen,JPY,392,21.86,21.26,21.56
2024-12-27,Yuan Renminbi,CNY,156,Yen,JPY,392,21.96,21.36,21.66
2024-12-30,Yuan Renminbi,CNY,156,Yen,JPY,392,21.97,21.37,21.67
