date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Yuan Renminbi,CNY,156,Yen,JPY,392,21.47,20.87,21.17
2025-02-04,Yuan Renminbi,CNY,156,Yen,JPY,392,21.54,20.94,21.24
2025-02-05,Yuan Renminbi,CNY,156,Yen,JPY,392,21.45,20.85,21.15
2025-02-06,Yuan Renminbi,CNY,156,Yen,JPY,392,21.26,20.66,20.96
2025-02-07,Yuan Renminbi,CNY,156,Yen,JPY,392,21.06,20.46,20.76
2025-02-10,Yuan Renminbi,CNY,156,Yen,JPY,392,21.1,20.5,20.8
2025-02-12,Yuan Renminbi,CNY,156,Yen,JPY,392,21.26,20.66,20.96
2025-02-13,Yuan Renminbi,CNY,156,Yen,JPY,392,21.43,20.83,21.13
2025-02-14,Yuan Renminbi,CNY,156,Yen,JPY,392,21.29,20.69,20.99
2025-02-17,Yuan Renminbi,CNY,156,Yen,JPY,392,21.24,20.64,20.94
2025-02-18,Yuan Renminbi,CNY,156,Yen,JPY,392,21.17,20.57,20.87
2025-02-19,Yuan Renminbi,CNY,156,Yen,JPY,392,21.19,20.59,20.89
2025-02-20,Yuan Renminbi,CNY,156,Yen,JPY,392,21.06,20.46,20.76
2025-02-21,Yuan Renminbi,CNY,156,Yen,JPY,392,20.98,20.38,20.68
2025-02-25,Yuan Renminbi,CNY,156,Yen,JPY,392,21.,20.4,20.7
2025-02-26,Yuan Renminbi,CNY,156,Yen,JPY,392,20.84,20.24,20.54
2025-02-27,Yuan Renminbi,CNY,156,Yen,JPY,392,20.83,20.23,20.53
2025-02-28,Yuan Renminbi,CNY,156,Yen,JPY,392,20.8,20.2,20.5
