date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Czech Koruna,CZK,203,Yen,JPY,392,6.44,6.2,6.32
2025-02-04,Czech Koruna,CZK,203,Yen,JPY,392,6.48,6.24,6.36
2025-02-05,Czech Koruna,CZK,203,Yen,JPY,392,6.48,6.24,6.36
2025-02-06,Czech Koruna,CZK,203,Yen,JPY,392,6.43,6.19,6.31
2025-02-07,Czech Koruna,CZK,203,Yen,JPY,392,6.39,6.15,6.27
2025-02-10,Czech Koruna,CZK,203,Yen,JPY,392,6.35,6.11,6.23
2025-02-12,Czech Koruna,CZK,203,Yen,JPY,392,6.45,6.21,6.33
2025-02-13,Czech Koruna,CZK,203,Yen,JPY,392,6.54,6.3,6.42
2025-02-14,Czech Koruna,CZK,203,Yen,JPY,392,6.51,6.27,6.39
2025-02-17,Czech Koruna,CZK,203,Yen,JPY,392,6.49,6.25,6.37
2025-02-18,Czech Koruna,CZK,203,Yen,JPY,392,6.47,6.23,6.35
2025-02-19,Czech Koruna,CZK,203,Yen,JPY,392,6.47,6.23,6.35
2025-02-20,Czech Koruna,CZK,203,Yen,JPY,392,6.4,6.16,6.28
2025-02-21,Czech Koruna,CZK,203,Yen,JPY,392,6.4,6.16,6.28
2025-02-25,Czech Koruna,CZK,203,Yen,JPY,392,6.42,6.18,6.3
2025-02-26,Czech Koruna,CZK,203,Yen,JPY,392,6.42,6.18,6.3
2025-02-27,Czech Koruna,CZK,203,Yen,JPY,392,6.4,6.16,6.28
2025-02-28,Czech Koruna,CZK,203,Yen,JPY,392,6.35,6.11,6.23
