date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Euro,EUR,978,Yen,JPY,392,163.96,160.96,162.46
2025-01-07,Euro,EUR,978,Yen,JPY,392,165.8,162.8,164.3
2025-01-08,Euro,EUR,978,Yen,JPY,392,165.04,162.04,163.54
2025-01-09,Euro,EUR,978,Yen,JPY,392,164.78,161.78,163.28
2025-01-10,Euro,EUR,978,Yen,JPY,392,164.35,161.35,162.85
2025-01-14,Euro,EUR,978,Yen,JPY,392,162.93,159.93,161.43
2025-01-15,Euro,EUR,978,Yen,JPY,392,164.35,161.35,162.85
2025-01-16,Euro,EUR,978,Yen,JPY,392,162.56,159.56,161.06
2025-01-17,Euro,EUR,978,Yen,JPY,392,161.5,158.5,160.
2025-01-20,Euro,EUR,978,Yen,JPY,392,162.01,159.01,160.51
2025-01-21,Euro,EUR,978,Yen,JPY,392,163.44,160.44,161.94
2025-01-22,Euro,EUR,978,Yen,JPY,392,163.61,160.61,162.11
2025-01-23,Euro,EUR,978,Yen,JPY,392,164.37,161.37,162.87
2025-01-24,Euro,EUR,978,Yen,JPY,392,164.38,161.38,162.88
2025-01-27,Euro,EUR,978,Yen,JPY,392,164.51,161.51,163.01
2025-01-28,Euro,EUR,978,Yen,JPY,392,163.55,160.55,162.05
2025-01-29,Euro,EUR,978,Yen,JPY,392,163.87,160.87,162.37
2025-01-30,Euro,EUR,978,Yen,JPY,392,162.84,159.84,161.34
2025-01-31,Euro,EUR,978,Yen,JPY,392,161.86,158.86,160.36
