date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Hong Kong Dollar,HKD,344,Yen,JPY,392,19.93,19.07,19.5
2024-12-11,Hong Kong Dollar,HKD,344,Yen,JPY,392,19.96,19.1,19.53
2024-12-12,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.03,19.17,19.6
2024-12-13,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.11,19.25,19.68
2024-12-16,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.22,19.36,19.79
2024-12-17,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.28,19.42,19.85
2024-12-18,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.22,19.36,19.79
2024-12-19,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.36,19.5,19.93
2024-12-20,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.76,19.9,20.33
2024-12-23,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.59,19.73,20.16
2024-12-24,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.69,19.83,20.26
2024-12-25,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.7,19.84,20.27
2024-12-26,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.7,19.84,20.27
2024-12-27,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.8,19.94,20.37
2024-12-30,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.81,19.95,20.38
