date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.71,19.85,20.28
2025-01-07,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.78,19.92,20.35
2025-01-08,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.76,19.9,20.33
2025-01-09,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.8,19.94,20.37
2025-01-10,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.76,19.9,20.33
2025-01-14,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.67,19.81,20.24
2025-01-15,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.73,19.87,20.3
2025-01-16,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.52,19.66,20.09
2025-01-17,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.36,19.5,19.93
2025-01-20,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.48,19.62,20.05
2025-01-21,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.49,19.63,20.06
2025-01-22,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.41,19.55,19.98
2025-01-23,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.53,19.67,20.1
2025-01-24,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.5,19.64,20.07
2025-01-27,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.41,19.55,19.98
2025-01-28,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.35,19.49,19.92
2025-01-29,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.41,19.55,19.98
2025-01-30,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.29,19.43,19.86
2025-01-31,Hong Kong Dollar,HKD,344,Yen,JPY,392,20.25,19.39,19.82
