date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2024-12-11,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2024-12-12,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2024-12-13,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2024-12-16,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2024-12-17,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2024-12-18,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2024-12-19,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2024-12-20,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2024-12-23,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2024-12-24,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2024-12-25,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2024-12-26,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2024-12-27,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2024-12-30,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
