date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2024-12-11,Indian Rupee,INR,356,Yen,JPY,392,1.95,1.65,1.8
2024-12-12,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2024-12-13,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2024-12-16,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2024-12-17,Indian Rupee,INR,356,Yen,JPY,392,1.98,1.68,1.83
2024-12-18,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2024-12-19,Indian Rupee,INR,356,Yen,JPY,392,1.98,1.68,1.83
2024-12-20,Indian Rupee,INR,356,Yen,JPY,392,2.02,1.72,1.87
2024-12-23,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2024-12-24,Indian Rupee,INR,356,Yen,JPY,392,2.01,1.71,1.86
2024-12-25,Indian Rupee,INR,356,Yen,JPY,392,2.01,1.71,1.86
2024-12-26,Indian Rupee,INR,356,Yen,JPY,392,2.01,1.71,1.86
2024-12-27,Indian Rupee,INR,356,Yen,JPY,392,2.01,1.71,1.86
2024-12-30,Indian Rupee,INR,356,Yen,JPY,392,2.01,1.71,1.86
