date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Won,KRW,410,Yen,JPY,392,10.82,10.42,10.62
2024-12-11,Won,KRW,410,Yen,JPY,392,10.82,10.42,10.62
2024-12-12,Won,KRW,410,Yen,JPY,392,10.86,10.46,10.66
2024-12-13,Won,KRW,410,Yen,JPY,392,10.91,10.51,10.71
2024-12-16,Won,KRW,410,Yen,JPY,392,10.94,10.54,10.74
2024-12-17,Won,KRW,410,Yen,JPY,392,10.95,10.55,10.75
2024-12-18,Won,KRW,410,Yen,JPY,392,10.9,10.5,10.7
2024-12-19,Won,KRW,410,Yen,JPY,392,10.91,10.51,10.71
2024-12-20,Won,KRW,410,Yen,JPY,392,11.11,10.71,10.91
2024-12-23,Won,KRW,410,Yen,JPY,392,11.05,10.65,10.85
2024-12-24,Won,KRW,410,Yen,JPY,392,11.04,10.64,10.84
2024-12-25,Won,KRW,410,Yen,JPY,392,10.99,10.59,10.79
2024-12-26,Won,KRW,410,Yen,JPY,392,11.,10.6,10.8
2024-12-27,Won,KRW,410,Yen,JPY,392,10.94,10.54,10.74
2024-12-30,Won,KRW,410,Yen,JPY,392,10.96,10.56,10.76
