date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Won,KRW,410,Yen,JPY,392,10.92,10.52,10.72
2025-01-07,Won,KRW,410,Yen,JPY,392,11.05,10.65,10.85
2025-01-08,Won,KRW,410,Yen,JPY,392,11.07,10.67,10.87
2025-01-09,Won,KRW,410,Yen,JPY,392,11.07,10.67,10.87
2025-01-10,Won,KRW,410,Yen,JPY,392,11.07,10.67,10.87
2025-01-14,Won,KRW,410,Yen,JPY,392,10.96,10.56,10.76
2025-01-15,Won,KRW,410,Yen,JPY,392,11.03,10.63,10.83
2025-01-16,Won,KRW,410,Yen,JPY,392,10.97,10.57,10.77
2025-01-17,Won,KRW,410,Yen,JPY,392,10.89,10.49,10.69
2025-01-20,Won,KRW,410,Yen,JPY,392,10.92,10.52,10.72
2025-01-21,Won,KRW,410,Yen,JPY,392,11.04,10.64,10.84
2025-01-22,Won,KRW,410,Yen,JPY,392,11.08,10.68,10.88
2025-01-23,Won,KRW,410,Yen,JPY,392,11.12,10.72,10.92
2025-01-24,Won,KRW,410,Yen,JPY,392,11.12,10.72,10.92
2025-01-27,Won,KRW,410,Yen,JPY,392,11.13,10.73,10.93
2025-01-28,Won,KRW,410,Yen,JPY,392,11.03,10.63,10.83
2025-01-29,Won,KRW,410,Yen,JPY,392,10.98,10.58,10.78
2025-01-30,Won,KRW,410,Yen,JPY,392,10.94,10.54,10.74
2025-01-31,Won,KRW,410,Yen,JPY,392,10.84,10.44,10.64
