date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Kuwaiti Dinar,KWD,414,Yen,JPY,392,501.94,485.94,493.94
2024-12-11,Kuwaiti Dinar,KWD,414,Yen,JPY,392,501.21,485.21,493.21
2024-12-12,Kuwaiti Dinar,KWD,414,Yen,JPY,392,502.97,486.97,494.97
2024-12-13,Kuwaiti Dinar,KWD,414,Yen,JPY,392,506.44,490.44,498.44
2024-12-16,Kuwaiti Dinar,KWD,414,Yen,JPY,392,507.42,491.42,499.42
2024-12-17,Kuwaiti Dinar,KWD,414,Yen,JPY,392,508.39,492.39,500.39
2024-12-18,Kuwaiti Dinar,KWD,414,Yen,JPY,392,508.78,492.78,500.78
2024-12-19,Kuwaiti Dinar,KWD,414,Yen,JPY,392,511.87,495.87,503.87
2024-12-20,Kuwaiti Dinar,KWD,414,Yen,JPY,392,521.16,505.16,513.16
2024-12-23,Kuwaiti Dinar,KWD,414,Yen,JPY,392,517.82,501.82,509.82
2024-12-24,Kuwaiti Dinar,KWD,414,Yen,JPY,392,519.7,503.7,511.7
2024-12-25,Kuwaiti Dinar,KWD,414,Yen,JPY,392,519.64,503.64,511.64
2024-12-26,Kuwaiti Dinar,KWD,414,Yen,JPY,392,519.8,503.8,511.8
2024-12-27,Kuwaiti Dinar,KWD,414,Yen,JPY,392,522.24,506.24,514.24
2024-12-30,Kuwaiti Dinar,KWD,414,Yen,JPY,392,522.24,506.24,514.24
