date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Kuwaiti Dinar,KWD,414,Yen,JPY,392,520.11,504.11,512.11
2025-01-07,Kuwaiti Dinar,KWD,414,Yen,JPY,392,521.87,505.87,513.87
2025-01-08,Kuwaiti Dinar,KWD,414,Yen,JPY,392,521.61,505.61,513.61
2025-01-09,Kuwaiti Dinar,KWD,414,Yen,JPY,392,522.88,506.88,514.88
2025-01-10,Kuwaiti Dinar,KWD,414,Yen,JPY,392,522.24,506.24,514.24
2025-01-14,Kuwaiti Dinar,KWD,414,Yen,JPY,392,519.26,503.26,511.26
2025-01-15,Kuwaiti Dinar,KWD,414,Yen,JPY,392,521.25,505.25,513.25
2025-01-16,Kuwaiti Dinar,KWD,414,Yen,JPY,392,515.99,499.99,507.99
2025-01-17,Kuwaiti Dinar,KWD,414,Yen,JPY,392,512.06,496.06,504.06
2025-01-20,Kuwaiti Dinar,KWD,414,Yen,JPY,392,514.75,498.75,506.75
2025-01-21,Kuwaiti Dinar,KWD,414,Yen,JPY,392,515.15,499.15,507.15
2025-01-22,Kuwaiti Dinar,KWD,414,Yen,JPY,392,513.85,497.85,505.85
2025-01-23,Kuwaiti Dinar,KWD,414,Yen,JPY,392,516.61,500.61,508.61
2025-01-24,Kuwaiti Dinar,KWD,414,Yen,JPY,392,514.25,498.25,506.25
2025-01-27,Kuwaiti Dinar,KWD,414,Yen,JPY,392,514.02,498.02,506.02
2025-01-28,Kuwaiti Dinar,KWD,414,Yen,JPY,392,512.16,496.16,504.16
2025-01-29,Kuwaiti Dinar,KWD,414,Yen,JPY,392,513.78,497.78,505.78
2025-01-30,Kuwaiti Dinar,KWD,414,Yen,JPY,392,510.96,494.96,502.96
2025-01-31,Kuwaiti Dinar,KWD,414,Yen,JPY,392,509.56,493.56,501.56
2025-02-03,Kuwaiti Dinar,KWD,414,Yen,JPY,392,512.73,496.73,504.73
2025-02-04,Kuwaiti Dinar,KWD,414,Yen,JPY,392,511.89,495.89,503.89
2025-02-05,Kuwaiti Dinar,KWD,414,Yen,JPY,392,508.39,492.39,500.39
2025-02-06,Kuwaiti Dinar,KWD,414,Yen,JPY,392,503.65,487.65,495.65
2025-02-07,Kuwaiti Dinar,KWD,414,Yen,JPY,392,499.23,483.23,491.23
2025-02-10,Kuwaiti Dinar,KWD,414,Yen,JPY,392,500.9,484.9,492.9
2025-02-12,Kuwaiti Dinar,KWD,414,Yen,JPY,392,505.11,489.11,497.11
2025-02-13,Kuwaiti Dinar,KWD,414,Yen,JPY,392,509.17,493.17,501.17
2025-02-14,Kuwaiti Dinar,KWD,414,Yen,JPY,392,504.3,488.3,496.3
2025-02-17,Kuwaiti Dinar,KWD,414,Yen,JPY,392,501.21,485.21,493.21
2025-02-18,Kuwaiti Dinar,KWD,414,Yen,JPY,392,500.44,484.44,492.44
2025-02-19,Kuwaiti Dinar,KWD,414,Yen,JPY,392,501.64,485.64,493.64
2025-02-20,Kuwaiti Dinar,KWD,414,Yen,JPY,392,498.52,482.52,490.52
2025-02-21,Kuwaiti Dinar,KWD,414,Yen,JPY,392,493.14,477.14,485.14
2025-02-25,Kuwaiti Dinar,KWD,414,Yen,JPY,392,494.02,478.02,486.02
2025-02-26,Kuwaiti Dinar,KWD,414,Yen,JPY,392,492.14,476.14,484.14
2025-02-27,Kuwaiti Dinar,KWD,414,Yen,JPY,392,492.86,476.86,484.86
2025-02-28,Kuwaiti Dinar,KWD,414,Yen,JPY,392,493.78,477.78,485.78
2025-03-03,Kuwaiti Dinar,KWD,414,Yen,JPY,392,496.36,480.36,488.36
2025-03-04,Kuwaiti Dinar,KWD,414,Yen,JPY,392,492.93,476.93,484.93
2025-03-05,Kuwaiti Dinar,KWD,414,Yen,JPY,392,494.59,478.59,486.59
2025-03-06,Kuwaiti Dinar,KWD,414,Yen,JPY,392,492.58,476.58,484.58
2025-03-07,Kuwaiti Dinar,KWD,414,Yen,JPY,392,489.37,473.37,481.37
2025-03-10,Kuwaiti Dinar,KWD,414,Yen,JPY,392,487.44,471.44,479.44
