date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Mexican Peso,MXN,484,Yen,JPY,392,8.49,6.49,7.49
2024-12-11,Mexican Peso,MXN,484,Yen,JPY,392,8.54,6.54,7.54
2024-12-12,Mexican Peso,MXN,484,Yen,JPY,392,8.58,6.58,7.58
2024-12-13,Mexican Peso,MXN,484,Yen,JPY,392,8.57,6.57,7.57
2024-12-16,Mexican Peso,MXN,484,Yen,JPY,392,8.65,6.65,7.65
2024-12-17,Mexican Peso,MXN,484,Yen,JPY,392,8.66,6.66,7.66
2024-12-18,Mexican Peso,MXN,484,Yen,JPY,392,8.62,6.62,7.62
2024-12-19,Mexican Peso,MXN,484,Yen,JPY,392,8.61,6.61,7.61
2024-12-20,Mexican Peso,MXN,484,Yen,JPY,392,8.77,6.77,7.77
2024-12-23,Mexican Peso,MXN,484,Yen,JPY,392,8.81,6.81,7.81
2024-12-24,Mexican Peso,MXN,484,Yen,JPY,392,8.81,6.81,7.81
2024-12-25,Mexican Peso,MXN,484,Yen,JPY,392,8.8,6.8,7.8
2024-12-26,Mexican Peso,MXN,484,Yen,JPY,392,8.81,6.81,7.81
2024-12-27,Mexican Peso,MXN,484,Yen,JPY,392,8.82,6.82,7.82
2024-12-30,Mexican Peso,MXN,484,Yen,JPY,392,8.77,6.77,7.77
