date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Mexican Peso,MXN,484,Yen,JPY,392,8.65,6.65,7.65
2025-01-07,Mexican Peso,MXN,484,Yen,JPY,392,8.78,6.78,7.78
2025-01-08,Mexican Peso,MXN,484,Yen,JPY,392,8.78,6.78,7.78
2025-01-09,Mexican Peso,MXN,484,Yen,JPY,392,8.76,6.76,7.76
2025-01-10,Mexican Peso,MXN,484,Yen,JPY,392,8.72,6.72,7.72
2025-01-14,Mexican Peso,MXN,484,Yen,JPY,392,8.64,6.64,7.64
2025-01-15,Mexican Peso,MXN,484,Yen,JPY,392,8.7,6.7,7.7
2025-01-16,Mexican Peso,MXN,484,Yen,JPY,392,8.66,6.66,7.66
2025-01-17,Mexican Peso,MXN,484,Yen,JPY,392,8.46,6.46,7.46
2025-01-20,Mexican Peso,MXN,484,Yen,JPY,392,8.51,6.51,7.51
2025-01-21,Mexican Peso,MXN,484,Yen,JPY,392,8.55,6.55,7.55
2025-01-22,Mexican Peso,MXN,484,Yen,JPY,392,8.54,6.54,7.54
2025-01-23,Mexican Peso,MXN,484,Yen,JPY,392,8.65,6.65,7.65
2025-01-24,Mexican Peso,MXN,484,Yen,JPY,392,8.68,6.68,7.68
2025-01-27,Mexican Peso,MXN,484,Yen,JPY,392,8.63,6.63,7.63
2025-01-28,Mexican Peso,MXN,484,Yen,JPY,392,8.49,6.49,7.49
2025-01-29,Mexican Peso,MXN,484,Yen,JPY,392,8.58,6.58,7.58
2025-01-30,Mexican Peso,MXN,484,Yen,JPY,392,8.56,6.56,7.56
2025-01-31,Mexican Peso,MXN,484,Yen,JPY,392,8.47,6.47,7.47
2025-02-03,Mexican Peso,MXN,484,Yen,JPY,392,8.33,6.33,7.33
2025-02-04,Mexican Peso,MXN,484,Yen,JPY,392,8.62,6.62,7.62
2025-02-05,Mexican Peso,MXN,484,Yen,JPY,392,8.52,6.52,7.52
2025-02-06,Mexican Peso,MXN,484,Yen,JPY,392,8.41,6.41,7.41
2025-02-07,Mexican Peso,MXN,484,Yen,JPY,392,8.39,6.39,7.39
2025-02-10,Mexican Peso,MXN,484,Yen,JPY,392,8.38,6.38,7.38
2025-02-12,Mexican Peso,MXN,484,Yen,JPY,392,8.46,6.46,7.46
2025-02-13,Mexican Peso,MXN,484,Yen,JPY,392,8.52,6.52,7.52
2025-02-14,Mexican Peso,MXN,484,Yen,JPY,392,8.49,6.49,7.49
2025-02-17,Mexican Peso,MXN,484,Yen,JPY,392,8.48,6.48,7.48
2025-02-18,Mexican Peso,MXN,484,Yen,JPY,392,8.46,6.46,7.46
2025-02-19,Mexican Peso,MXN,484,Yen,JPY,392,8.51,6.51,7.51
2025-02-20,Mexican Peso,MXN,484,Yen,JPY,392,8.39,6.39,7.39
2025-02-21,Mexican Peso,MXN,484,Yen,JPY,392,8.38,6.38,7.38
2025-02-25,Mexican Peso,MXN,484,Yen,JPY,392,8.33,6.33,7.33
2025-02-26,Mexican Peso,MXN,484,Yen,JPY,392,8.27,6.27,7.27
2025-02-27,Mexican Peso,MXN,484,Yen,JPY,392,8.32,6.32,7.32
2025-02-28,Mexican Peso,MXN,484,Yen,JPY,392,8.31,6.31,7.31
2025-03-03,Mexican Peso,MXN,484,Yen,JPY,392,8.35,6.35,7.35
2025-03-04,Mexican Peso,MXN,484,Yen,JPY,392,8.2,6.2,7.2
2025-03-05,Mexican Peso,MXN,484,Yen,JPY,392,8.29,6.29,7.29
2025-03-06,Mexican Peso,MXN,484,Yen,JPY,392,8.32,6.32,7.32
