date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Mexican Peso,MXN,484,Yen,JPY,392,8.65,6.65,7.65
2025-01-07,Mexican Peso,MXN,484,Yen,JPY,392,8.78,6.78,7.78
2025-01-08,Mexican Peso,MXN,484,Yen,JPY,392,8.78,6.78,7.78
2025-01-09,Mexican Peso,MXN,484,Yen,JPY,392,8.76,6.76,7.76
2025-01-10,Mexican Peso,MXN,484,Yen,JPY,392,8.72,6.72,7.72
2025-01-14,Mexican Peso,MXN,484,Yen,JPY,392,8.64,6.64,7.64
2025-01-15,Mexican Peso,MXN,484,Yen,JPY,392,8.7,6.7,7.7
2025-01-16,Mexican Peso,MXN,484,Yen,JPY,392,8.66,6.66,7.66
2025-01-17,Mexican Peso,MXN,484,Yen,JPY,392,8.46,6.46,7.46
2025-01-20,Mexican Peso,MXN,484,Yen,JPY,392,8.51,6.51,7.51
2025-01-21,Mexican Peso,MXN,484,Yen,JPY,392,8.55,6.55,7.55
2025-01-22,Mexican Peso,MXN,484,Yen,JPY,392,8.54,6.54,7.54
2025-01-23,Mexican Peso,MXN,484,Yen,JPY,392,8.65,6.65,7.65
2025-01-24,Mexican Peso,MXN,484,Yen,JPY,392,8.68,6.68,7.68
2025-01-27,Mexican Peso,MXN,484,Yen,JPY,392,8.63,6.63,7.63
2025-01-28,Mexican Peso,MXN,484,Yen,JPY,392,8.49,6.49,7.49
2025-01-29,Mexican Peso,MXN,484,Yen,JPY,392,8.58,6.58,7.58
2025-01-30,Mexican Peso,MXN,484,Yen,JPY,392,8.56,6.56,7.56
2025-01-31,Mexican Peso,MXN,484,Yen,JPY,392,8.47,6.47,7.47
