date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,New Zealand Dollar,NZD,554,Yen,JPY,392,90.72,86.72,88.72
2025-01-07,New Zealand Dollar,NZD,554,Yen,JPY,392,91.3,87.3,89.3
2025-01-08,New Zealand Dollar,NZD,554,Yen,JPY,392,90.99,86.99,88.99
2025-01-09,New Zealand Dollar,NZD,554,Yen,JPY,392,90.66,86.66,88.66
2025-01-10,New Zealand Dollar,NZD,554,Yen,JPY,392,90.49,86.49,88.49
2025-01-14,New Zealand Dollar,NZD,554,Yen,JPY,392,90.24,86.24,88.24
2025-01-15,New Zealand Dollar,NZD,554,Yen,JPY,392,90.56,86.56,88.56
2025-01-16,New Zealand Dollar,NZD,554,Yen,JPY,392,89.99,85.99,87.99
2025-01-17,New Zealand Dollar,NZD,554,Yen,JPY,392,89.06,85.06,87.06
2025-01-20,New Zealand Dollar,NZD,554,Yen,JPY,392,89.36,85.36,87.36
2025-01-21,New Zealand Dollar,NZD,554,Yen,JPY,392,90.12,86.12,88.12
2025-01-22,New Zealand Dollar,NZD,554,Yen,JPY,392,90.15,86.15,88.15
2025-01-23,New Zealand Dollar,NZD,554,Yen,JPY,392,90.61,86.61,88.61
2025-01-24,New Zealand Dollar,NZD,554,Yen,JPY,392,90.7,86.7,88.7
2025-01-27,New Zealand Dollar,NZD,554,Yen,JPY,392,90.55,86.55,88.55
2025-01-28,New Zealand Dollar,NZD,554,Yen,JPY,392,89.91,85.91,87.91
2025-01-29,New Zealand Dollar,NZD,554,Yen,JPY,392,90.13,86.13,88.13
2025-01-30,New Zealand Dollar,NZD,554,Yen,JPY,392,89.64,85.64,87.64
2025-01-31,New Zealand Dollar,NZD,554,Yen,JPY,392,88.87,84.87,86.87
2025-02-03,New Zealand Dollar,NZD,554,Yen,JPY,392,88.28,84.28,86.28
2025-02-04,New Zealand Dollar,NZD,554,Yen,JPY,392,89.29,85.29,87.29
2025-02-05,New Zealand Dollar,NZD,554,Yen,JPY,392,89.16,85.16,87.16
2025-02-06,New Zealand Dollar,NZD,554,Yen,JPY,392,88.74,84.74,86.74
2025-02-07,New Zealand Dollar,NZD,554,Yen,JPY,392,87.88,83.88,85.88
2025-02-10,New Zealand Dollar,NZD,554,Yen,JPY,392,87.84,83.84,85.84
2025-02-12,New Zealand Dollar,NZD,554,Yen,JPY,392,88.71,84.71,86.71
2025-02-13,New Zealand Dollar,NZD,554,Yen,JPY,392,89.16,85.16,87.16
2025-02-14,New Zealand Dollar,NZD,554,Yen,JPY,392,88.8,84.8,86.8
2025-02-17,New Zealand Dollar,NZD,554,Yen,JPY,392,89.12,85.12,87.12
2025-02-18,New Zealand Dollar,NZD,554,Yen,JPY,392,88.85,84.85,86.85
2025-02-19,New Zealand Dollar,NZD,554,Yen,JPY,392,88.72,84.72,86.72
2025-02-20,New Zealand Dollar,NZD,554,Yen,JPY,392,88.22,84.22,86.22
2025-02-21,New Zealand Dollar,NZD,554,Yen,JPY,392,88.33,84.33,86.33
2025-02-25,New Zealand Dollar,NZD,554,Yen,JPY,392,87.99,83.99,85.99
2025-02-26,New Zealand Dollar,NZD,554,Yen,JPY,392,87.27,83.27,85.27
2025-02-27,New Zealand Dollar,NZD,554,Yen,JPY,392,86.98,82.98,84.98
2025-02-28,New Zealand Dollar,NZD,554,Yen,JPY,392,86.14,82.14,84.14
2025-03-03,New Zealand Dollar,NZD,554,Yen,JPY,392,86.42,82.42,84.42
2025-03-04,New Zealand Dollar,NZD,554,Yen,JPY,392,85.69,81.69,83.69
2025-03-05,New Zealand Dollar,NZD,554,Yen,JPY,392,86.77,82.77,84.77
2025-03-06,New Zealand Dollar,NZD,554,Yen,JPY,392,87.43,83.43,85.43
