date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Philippine Peso,PHP,608,Yen,JPY,392,2.87,2.59,2.73
2025-01-07,Philippine Peso,PHP,608,Yen,JPY,392,2.87,2.59,2.73
2025-01-08,Philippine Peso,PHP,608,Yen,JPY,392,2.88,2.6,2.74
2025-01-09,Philippine Peso,PHP,608,Yen,JPY,392,2.87,2.59,2.73
2025-01-10,Philippine Peso,PHP,608,Yen,JPY,392,2.86,2.58,2.72
2025-01-14,Philippine Peso,PHP,608,Yen,JPY,392,2.84,2.56,2.7
2025-01-15,Philippine Peso,PHP,608,Yen,JPY,392,2.86,2.58,2.72
2025-01-16,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-01-17,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-01-20,Philippine Peso,PHP,608,Yen,JPY,392,2.82,2.54,2.68
2025-01-21,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-01-22,Philippine Peso,PHP,608,Yen,JPY,392,2.82,2.54,2.68
2025-01-23,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-01-24,Philippine Peso,PHP,608,Yen,JPY,392,2.82,2.54,2.68
2025-01-27,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-01-28,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-01-29,Philippine Peso,PHP,608,Yen,JPY,392,2.82,2.54,2.68
2025-01-30,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-01-31,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-02-03,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-02-04,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-02-05,Philippine Peso,PHP,608,Yen,JPY,392,2.8,2.52,2.66
2025-02-06,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-07,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-10,Philippine Peso,PHP,608,Yen,JPY,392,2.78,2.5,2.64
2025-02-12,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-13,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-02-14,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-17,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-18,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2025-02-19,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2025-02-20,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-21,Philippine Peso,PHP,608,Yen,JPY,392,2.75,2.47,2.61
2025-02-25,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-26,Philippine Peso,PHP,608,Yen,JPY,392,2.73,2.45,2.59
2025-02-27,Philippine Peso,PHP,608,Yen,JPY,392,2.74,2.46,2.6
2025-02-28,Philippine Peso,PHP,608,Yen,JPY,392,2.74,2.46,2.6
2025-03-03,Philippine Peso,PHP,608,Yen,JPY,392,2.75,2.47,2.61
2025-03-04,Philippine Peso,PHP,608,Yen,JPY,392,2.74,2.46,2.6
2025-03-05,Philippine Peso,PHP,608,Yen,JPY,392,2.75,2.47,2.61
2025-03-06,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
