date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2025-02-04,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-02-05,Philippine Peso,PHP,608,Yen,JPY,392,2.8,2.52,2.66
2025-02-06,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-07,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-10,Philippine Peso,PHP,608,Yen,JPY,392,2.78,2.5,2.64
2025-02-12,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-13,Philippine Peso,PHP,608,Yen,JPY,392,2.81,2.53,2.67
2025-02-14,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-17,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2025-02-18,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2025-02-19,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2025-02-20,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-21,Philippine Peso,PHP,608,Yen,JPY,392,2.75,2.47,2.61
2025-02-25,Philippine Peso,PHP,608,Yen,JPY,392,2.76,2.48,2.62
2025-02-26,Philippine Peso,PHP,608,Yen,JPY,392,2.73,2.45,2.59
2025-02-27,Philippine Peso,PHP,608,Yen,JPY,392,2.74,2.46,2.6
2025-02-28,Philippine Peso,PHP,608,Yen,JPY,392,2.74,2.46,2.6
