date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2024-12-11,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2024-12-12,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2024-12-13,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2024-12-16,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2024-12-17,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2024-12-18,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2024-12-19,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2024-12-20,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-23,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-24,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-25,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-26,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-27,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
2024-12-30,Pakistan Rupee,PKR,586,Yen,JPY,392,0.72,0.42,0.57
