date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2025-02-04,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2025-02-05,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2025-02-06,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-07,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-10,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-12,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-13,Pakistan Rupee,PKR,586,Yen,JPY,392,0.71,0.41,0.56
2025-02-14,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-17,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-18,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-19,Pakistan Rupee,PKR,586,Yen,JPY,392,0.7,0.4,0.55
2025-02-20,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
2025-02-21,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
2025-02-25,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
2025-02-26,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
2025-02-27,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
2025-02-28,Pakistan Rupee,PKR,586,Yen,JPY,392,0.69,0.39,0.54
