date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Zloty,PLN,985,Yen,JPY,392,39.26,36.86,38.06
2025-01-07,Zloty,PLN,985,Yen,JPY,392,39.86,37.46,38.66
2025-01-08,Zloty,PLN,985,Yen,JPY,392,39.55,37.15,38.35
2025-01-09,Zloty,PLN,985,Yen,JPY,392,39.37,36.97,38.17
2025-01-10,Zloty,PLN,985,Yen,JPY,392,39.43,37.03,38.23
2025-01-14,Zloty,PLN,985,Yen,JPY,392,39.02,36.62,37.82
2025-01-15,Zloty,PLN,985,Yen,JPY,392,39.36,36.96,38.16
2025-01-16,Zloty,PLN,985,Yen,JPY,392,39.06,36.66,37.86
2025-01-17,Zloty,PLN,985,Yen,JPY,392,38.76,36.36,37.56
2025-01-20,Zloty,PLN,985,Yen,JPY,392,38.9,36.5,37.7
2025-01-21,Zloty,PLN,985,Yen,JPY,392,39.29,36.89,38.09
2025-01-22,Zloty,PLN,985,Yen,JPY,392,39.37,36.97,38.17
2025-01-23,Zloty,PLN,985,Yen,JPY,392,39.77,37.37,38.57
2025-01-24,Zloty,PLN,985,Yen,JPY,392,39.83,37.43,38.63
2025-01-27,Zloty,PLN,985,Yen,JPY,392,39.91,37.51,38.71
2025-01-28,Zloty,PLN,985,Yen,JPY,392,39.66,37.26,38.46
2025-01-29,Zloty,PLN,985,Yen,JPY,392,39.86,37.46,38.66
2025-01-30,Zloty,PLN,985,Yen,JPY,392,39.6,37.2,38.4
2025-01-31,Zloty,PLN,985,Yen,JPY,392,39.36,36.96,38.16
