date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Qatari Rial,QAR,634,Yen,JPY,392,44.02,42.66,43.34
2025-01-07,Qatari Rial,QAR,634,Yen,JPY,392,44.16,42.8,43.48
2025-01-08,Qatari Rial,QAR,634,Yen,JPY,392,44.12,42.76,43.44
2025-01-09,Qatari Rial,QAR,634,Yen,JPY,392,44.22,42.86,43.54
2025-01-10,Qatari Rial,QAR,634,Yen,JPY,392,44.15,42.79,43.47
2025-01-14,Qatari Rial,QAR,634,Yen,JPY,392,43.98,42.62,43.3
2025-01-15,Qatari Rial,QAR,634,Yen,JPY,392,44.12,42.76,43.44
2025-01-16,Qatari Rial,QAR,634,Yen,JPY,392,43.68,42.32,43.
2025-01-17,Qatari Rial,QAR,634,Yen,JPY,392,43.35,41.99,42.67
2025-01-20,Qatari Rial,QAR,634,Yen,JPY,392,43.57,42.21,42.89
2025-01-21,Qatari Rial,QAR,634,Yen,JPY,392,43.58,42.22,42.9
2025-01-22,Qatari Rial,QAR,634,Yen,JPY,392,43.43,42.07,42.75
2025-01-23,Qatari Rial,QAR,634,Yen,JPY,392,43.69,42.33,43.01
2025-01-24,Qatari Rial,QAR,634,Yen,JPY,392,43.64,42.28,42.96
2025-01-27,Qatari Rial,QAR,634,Yen,JPY,392,43.44,42.08,42.76
2025-01-28,Qatari Rial,QAR,634,Yen,JPY,392,43.3,41.94,42.62
2025-01-29,Qatari Rial,QAR,634,Yen,JPY,392,43.46,42.1,42.78
2025-01-30,Qatari Rial,QAR,634,Yen,JPY,392,43.21,41.85,42.53
2025-01-31,Qatari Rial,QAR,634,Yen,JPY,392,43.12,41.76,42.44
2025-02-03,Qatari Rial,QAR,634,Yen,JPY,392,43.46,42.1,42.78
2025-02-04,Qatari Rial,QAR,634,Yen,JPY,392,43.37,42.01,42.69
2025-02-05,Qatari Rial,QAR,634,Yen,JPY,392,43.02,41.66,42.34
2025-02-06,Qatari Rial,QAR,634,Yen,JPY,392,42.62,41.26,41.94
2025-02-07,Qatari Rial,QAR,634,Yen,JPY,392,42.26,40.9,41.58
2025-02-10,Qatari Rial,QAR,634,Yen,JPY,392,42.45,41.09,41.77
2025-02-12,Qatari Rial,QAR,634,Yen,JPY,392,42.81,41.45,42.13
2025-02-13,Qatari Rial,QAR,634,Yen,JPY,392,43.14,41.78,42.46
2025-02-14,Qatari Rial,QAR,634,Yen,JPY,392,42.68,41.32,42.
2025-02-17,Qatari Rial,QAR,634,Yen,JPY,392,42.42,41.06,41.74
2025-02-18,Qatari Rial,QAR,634,Yen,JPY,392,42.36,41.,41.68
2025-02-19,Qatari Rial,QAR,634,Yen,JPY,392,42.49,41.13,41.81
2025-02-20,Qatari Rial,QAR,634,Yen,JPY,392,42.21,40.85,41.53
2025-02-21,Qatari Rial,QAR,634,Yen,JPY,392,41.87,40.51,41.19
2025-02-25,Qatari Rial,QAR,634,Yen,JPY,392,41.96,40.6,41.28
2025-02-26,Qatari Rial,QAR,634,Yen,JPY,392,41.6,40.24,40.92
2025-02-27,Qatari Rial,QAR,634,Yen,JPY,392,41.7,40.34,41.02
2025-02-28,Qatari Rial,QAR,634,Yen,JPY,392,41.82,40.46,41.14
2025-03-03,Qatari Rial,QAR,634,Yen,JPY,392,42.04,40.68,41.36
2025-03-04,Qatari Rial,QAR,634,Yen,JPY,392,41.7,40.34,41.02
2025-03-05,Qatari Rial,QAR,634,Yen,JPY,392,41.86,40.5,41.18
2025-03-06,Qatari Rial,QAR,634,Yen,JPY,392,41.69,40.33,41.01
2025-03-07,Qatari Rial,QAR,634,Yen,JPY,392,41.37,40.01,40.69
2025-03-10,Qatari Rial,QAR,634,Yen,JPY,392,41.18,39.82,40.5
