date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Qatari Rial,QAR,634,Yen,JPY,392,44.02,42.66,43.34
2025-01-07,Qatari Rial,QAR,634,Yen,JPY,392,44.16,42.8,43.48
2025-01-08,Qatari Rial,QAR,634,Yen,JPY,392,44.12,42.76,43.44
2025-01-09,Qatari Rial,QAR,634,Yen,JPY,392,44.22,42.86,43.54
2025-01-10,Qatari Rial,QAR,634,Yen,JPY,392,44.15,42.79,43.47
2025-01-14,Qatari Rial,QAR,634,Yen,JPY,392,43.98,42.62,43.3
2025-01-15,Qatari Rial,QAR,634,Yen,JPY,392,44.12,42.76,43.44
2025-01-16,Qatari Rial,QAR,634,Yen,JPY,392,43.68,42.32,43.
2025-01-17,Qatari Rial,QAR,634,Yen,JPY,392,43.35,41.99,42.67
2025-01-20,Qatari Rial,QAR,634,Yen,JPY,392,43.57,42.21,42.89
2025-01-21,Qatari Rial,QAR,634,Yen,JPY,392,43.58,42.22,42.9
2025-01-22,Qatari Rial,QAR,634,Yen,JPY,392,43.43,42.07,42.75
2025-01-23,Qatari Rial,QAR,634,Yen,JPY,392,43.69,42.33,43.01
2025-01-24,Qatari Rial,QAR,634,Yen,JPY,392,43.64,42.28,42.96
2025-01-27,Qatari Rial,QAR,634,Yen,JPY,392,43.44,42.08,42.76
2025-01-28,Qatari Rial,QAR,634,Yen,JPY,392,43.3,41.94,42.62
2025-01-29,Qatari Rial,QAR,634,Yen,JPY,392,43.46,42.1,42.78
2025-01-30,Qatari Rial,QAR,634,Yen,JPY,392,43.21,41.85,42.53
2025-01-31,Qatari Rial,QAR,634,Yen,JPY,392,43.12,41.76,42.44
