date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Russian Ruble,RUB,643,Yen,JPY,392,1.83,1.33,1.58
2025-02-04,Russian Ruble,RUB,643,Yen,JPY,392,1.81,1.31,1.56
2025-02-05,Russian Ruble,RUB,643,Yen,JPY,392,1.78,1.28,1.53
2025-02-06,Russian Ruble,RUB,643,Yen,JPY,392,1.81,1.31,1.56
2025-02-07,Russian Ruble,RUB,643,Yen,JPY,392,1.82,1.32,1.57
2025-02-10,Russian Ruble,RUB,643,Yen,JPY,392,1.82,1.32,1.57
2025-02-12,Russian Ruble,RUB,643,Yen,JPY,392,1.84,1.34,1.59
2025-02-13,Russian Ruble,RUB,643,Yen,JPY,392,1.89,1.39,1.64
2025-02-14,Russian Ruble,RUB,643,Yen,JPY,392,1.96,1.46,1.71
2025-02-17,Russian Ruble,RUB,643,Yen,JPY,392,1.92,1.42,1.67
2025-02-18,Russian Ruble,RUB,643,Yen,JPY,392,1.91,1.41,1.66
2025-02-19,Russian Ruble,RUB,643,Yen,JPY,392,1.91,1.41,1.66
2025-02-20,Russian Ruble,RUB,643,Yen,JPY,392,1.94,1.44,1.69
2025-02-21,Russian Ruble,RUB,643,Yen,JPY,392,1.94,1.44,1.69
2025-02-25,Russian Ruble,RUB,643,Yen,JPY,392,1.96,1.46,1.71
2025-02-26,Russian Ruble,RUB,643,Yen,JPY,392,1.97,1.47,1.72
2025-02-27,Russian Ruble,RUB,643,Yen,JPY,392,1.97,1.47,1.72
2025-02-28,Russian Ruble,RUB,643,Yen,JPY,392,1.96,1.46,1.71
