date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Baht,THB,764,Yen,JPY,392,4.55,4.39,4.47
2024-12-11,Baht,THB,764,Yen,JPY,392,4.59,4.43,4.51
2024-12-12,Baht,THB,764,Yen,JPY,392,4.58,4.42,4.5
2024-12-13,Baht,THB,764,Yen,JPY,392,4.59,4.43,4.51
2024-12-16,Baht,THB,764,Yen,JPY,392,4.59,4.43,4.51
2024-12-17,Baht,THB,764,Yen,JPY,392,4.62,4.46,4.54
2024-12-18,Baht,THB,764,Yen,JPY,392,4.58,4.42,4.5
2024-12-19,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2024-12-20,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2024-12-23,Baht,THB,764,Yen,JPY,392,4.66,4.5,4.58
2024-12-24,Baht,THB,764,Yen,JPY,392,4.68,4.52,4.6
2024-12-25,Baht,THB,764,Yen,JPY,392,4.68,4.52,4.6
2024-12-26,Baht,THB,764,Yen,JPY,392,4.68,4.52,4.6
2024-12-27,Baht,THB,764,Yen,JPY,392,4.72,4.56,4.64
2024-12-30,Baht,THB,764,Yen,JPY,392,4.72,4.56,4.64
