date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Turkish Lira,TRY,949,Yen,JPY,392,6.97,1.97,4.47
2025-01-07,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-08,Turkish Lira,TRY,949,Yen,JPY,392,6.98,1.98,4.48
2025-01-09,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-10,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-14,Turkish Lira,TRY,949,Yen,JPY,392,6.95,1.95,4.45
2025-01-15,Turkish Lira,TRY,949,Yen,JPY,392,6.96,1.96,4.46
2025-01-16,Turkish Lira,TRY,949,Yen,JPY,392,6.92,1.92,4.42
2025-01-17,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-20,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-21,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-22,Turkish Lira,TRY,949,Yen,JPY,392,6.87,1.87,4.37
2025-01-23,Turkish Lira,TRY,949,Yen,JPY,392,6.9,1.9,4.4
2025-01-24,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-27,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2025-01-28,Turkish Lira,TRY,949,Yen,JPY,392,6.84,1.84,4.34
2025-01-29,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2025-01-30,Turkish Lira,TRY,949,Yen,JPY,392,6.83,1.83,4.33
2025-01-31,Turkish Lira,TRY,949,Yen,JPY,392,6.81,1.81,4.31
2025-02-03,Turkish Lira,TRY,949,Yen,JPY,392,6.84,1.84,4.34
2025-02-04,Turkish Lira,TRY,949,Yen,JPY,392,6.82,1.82,4.32
2025-02-05,Turkish Lira,TRY,949,Yen,JPY,392,6.79,1.79,4.29
2025-02-06,Turkish Lira,TRY,949,Yen,JPY,392,6.75,1.75,4.25
2025-02-07,Turkish Lira,TRY,949,Yen,JPY,392,6.72,1.72,4.22
2025-02-10,Turkish Lira,TRY,949,Yen,JPY,392,6.72,1.72,4.22
2025-02-12,Turkish Lira,TRY,949,Yen,JPY,392,6.76,1.76,4.26
2025-02-13,Turkish Lira,TRY,949,Yen,JPY,392,6.78,1.78,4.28
2025-02-14,Turkish Lira,TRY,949,Yen,JPY,392,6.74,1.74,4.24
2025-02-17,Turkish Lira,TRY,949,Yen,JPY,392,6.7,1.7,4.2
2025-02-18,Turkish Lira,TRY,949,Yen,JPY,392,6.69,1.69,4.19
2025-02-19,Turkish Lira,TRY,949,Yen,JPY,392,6.7,1.7,4.2
2025-02-20,Turkish Lira,TRY,949,Yen,JPY,392,6.67,1.67,4.17
2025-02-21,Turkish Lira,TRY,949,Yen,JPY,392,6.63,1.63,4.13
2025-02-25,Turkish Lira,TRY,949,Yen,JPY,392,6.62,1.62,4.12
2025-02-26,Turkish Lira,TRY,949,Yen,JPY,392,6.59,1.59,4.09
2025-02-27,Turkish Lira,TRY,949,Yen,JPY,392,6.6,1.6,4.1
2025-02-28,Turkish Lira,TRY,949,Yen,JPY,392,6.61,1.61,4.11
2025-03-03,Turkish Lira,TRY,949,Yen,JPY,392,6.63,1.63,4.13
2025-03-04,Turkish Lira,TRY,949,Yen,JPY,392,6.6,1.6,4.1
2025-03-05,Turkish Lira,TRY,949,Yen,JPY,392,6.61,1.61,4.11
2025-03-06,Turkish Lira,TRY,949,Yen,JPY,392,6.59,1.59,4.09
