date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Turkish Lira,TRY,949,Yen,JPY,392,6.97,1.97,4.47
2025-01-07,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-08,Turkish Lira,TRY,949,Yen,JPY,392,6.98,1.98,4.48
2025-01-09,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-10,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2025-01-14,Turkish Lira,TRY,949,Yen,JPY,392,6.95,1.95,4.45
2025-01-15,Turkish Lira,TRY,949,Yen,JPY,392,6.96,1.96,4.46
2025-01-16,Turkish Lira,TRY,949,Yen,JPY,392,6.92,1.92,4.42
2025-01-17,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-20,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-21,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-22,Turkish Lira,TRY,949,Yen,JPY,392,6.87,1.87,4.37
2025-01-23,Turkish Lira,TRY,949,Yen,JPY,392,6.9,1.9,4.4
2025-01-24,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2025-01-27,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2025-01-28,Turkish Lira,TRY,949,Yen,JPY,392,6.84,1.84,4.34
2025-01-29,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2025-01-30,Turkish Lira,TRY,949,Yen,JPY,392,6.83,1.83,4.33
2025-01-31,Turkish Lira,TRY,949,Yen,JPY,392,6.81,1.81,4.31
