date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,US Dollar,USD,840,Yen,JPY,392,156.71,154.71,155.71
2025-02-04,US Dollar,USD,840,Yen,JPY,392,156.35,154.35,155.35
2025-02-05,US Dollar,USD,840,Yen,JPY,392,155.07,153.07,154.07
2025-02-06,US Dollar,USD,840,Yen,JPY,392,153.61,151.61,152.61
2025-02-07,US Dollar,USD,840,Yen,JPY,392,152.3,150.3,151.3
2025-02-10,US Dollar,USD,840,Yen,JPY,392,152.96,150.96,151.96
2025-02-12,US Dollar,USD,840,Yen,JPY,392,154.26,152.26,153.26
2025-02-13,US Dollar,USD,840,Yen,JPY,392,155.51,153.51,154.51
2025-02-14,US Dollar,USD,840,Yen,JPY,392,153.81,151.81,152.81
2025-02-17,US Dollar,USD,840,Yen,JPY,392,152.91,150.91,151.91
2025-02-18,US Dollar,USD,840,Yen,JPY,392,152.67,150.67,151.67
2025-02-19,US Dollar,USD,840,Yen,JPY,392,153.14,151.14,152.14
2025-02-20,US Dollar,USD,840,Yen,JPY,392,152.13,150.13,151.13
2025-02-21,US Dollar,USD,840,Yen,JPY,392,150.86,148.86,149.86
2025-02-25,US Dollar,USD,840,Yen,JPY,392,151.23,149.23,150.23
2025-02-26,US Dollar,USD,840,Yen,JPY,392,149.92,147.92,148.92
2025-02-27,US Dollar,USD,840,Yen,JPY,392,150.24,148.24,149.24
2025-02-28,US Dollar,USD,840,Yen,JPY,392,150.67,148.67,149.67
