date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Rand,ZAR,710,Yen,JPY,392,9.91,6.91,8.41
2025-01-07,Rand,ZAR,710,Yen,JPY,392,10.02,7.02,8.52
2025-01-08,Rand,ZAR,710,Yen,JPY,392,9.94,6.94,8.44
2025-01-09,Rand,ZAR,710,Yen,JPY,392,9.87,6.87,8.37
2025-01-10,Rand,ZAR,710,Yen,JPY,392,9.85,6.85,8.35
2025-01-14,Rand,ZAR,710,Yen,JPY,392,9.79,6.79,8.29
2025-01-15,Rand,ZAR,710,Yen,JPY,392,9.85,6.85,8.35
2025-01-16,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-01-17,Rand,ZAR,710,Yen,JPY,392,9.75,6.75,8.25
2025-01-20,Rand,ZAR,710,Yen,JPY,392,9.82,6.82,8.32
2025-01-21,Rand,ZAR,710,Yen,JPY,392,9.88,6.88,8.38
2025-01-22,Rand,ZAR,710,Yen,JPY,392,9.92,6.92,8.42
2025-01-23,Rand,ZAR,710,Yen,JPY,392,9.95,6.95,8.45
2025-01-24,Rand,ZAR,710,Yen,JPY,392,9.94,6.94,8.44
2025-01-27,Rand,ZAR,710,Yen,JPY,392,9.9,6.9,8.4
2025-01-28,Rand,ZAR,710,Yen,JPY,392,9.75,6.75,8.25
2025-01-29,Rand,ZAR,710,Yen,JPY,392,9.82,6.82,8.32
2025-01-30,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-01-31,Rand,ZAR,710,Yen,JPY,392,9.81,6.81,8.31
2025-02-03,Rand,ZAR,710,Yen,JPY,392,9.68,6.68,8.18
2025-02-04,Rand,ZAR,710,Yen,JPY,392,9.78,6.78,8.28
2025-02-05,Rand,ZAR,710,Yen,JPY,392,9.74,6.74,8.24
2025-02-06,Rand,ZAR,710,Yen,JPY,392,9.72,6.72,8.22
2025-02-07,Rand,ZAR,710,Yen,JPY,392,9.71,6.71,8.21
2025-02-10,Rand,ZAR,710,Yen,JPY,392,9.7,6.7,8.2
2025-02-12,Rand,ZAR,710,Yen,JPY,392,9.78,6.78,8.28
2025-02-13,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-02-14,Rand,ZAR,710,Yen,JPY,392,9.76,6.76,8.26
2025-02-17,Rand,ZAR,710,Yen,JPY,392,9.77,6.77,8.27
2025-02-18,Rand,ZAR,710,Yen,JPY,392,9.72,6.72,8.22
2025-02-19,Rand,ZAR,710,Yen,JPY,392,9.76,6.76,8.26
2025-02-20,Rand,ZAR,710,Yen,JPY,392,9.65,6.65,8.15
2025-02-21,Rand,ZAR,710,Yen,JPY,392,9.67,6.67,8.17
2025-02-25,Rand,ZAR,710,Yen,JPY,392,9.66,6.66,8.16
2025-02-26,Rand,ZAR,710,Yen,JPY,392,9.58,6.58,8.08
2025-02-27,Rand,ZAR,710,Yen,JPY,392,9.6,6.6,8.1
2025-02-28,Rand,ZAR,710,Yen,JPY,392,9.61,6.61,8.11
2025-03-03,Rand,ZAR,710,Yen,JPY,392,9.58,6.58,8.08
2025-03-04,Rand,ZAR,710,Yen,JPY,392,9.52,6.52,8.02
2025-03-05,Rand,ZAR,710,Yen,JPY,392,9.6,6.6,8.1
2025-03-06,Rand,ZAR,710,Yen,JPY,392,9.65,6.65,8.15
