date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-02-03,Rand,ZAR,710,Yen,JPY,392,9.68,6.68,8.18
2025-02-04,Rand,ZAR,710,Yen,JPY,392,9.78,6.78,8.28
2025-02-05,Rand,ZAR,710,Yen,JPY,392,9.74,6.74,8.24
2025-02-06,Rand,ZAR,710,Yen,JPY,392,9.72,6.72,8.22
2025-02-07,Rand,ZAR,710,Yen,JPY,392,9.71,6.71,8.21
2025-02-10,Rand,ZAR,710,Yen,JPY,392,9.7,6.7,8.2
2025-02-12,Rand,ZAR,710,Yen,JPY,392,9.78,6.78,8.28
2025-02-13,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-02-14,Rand,ZAR,710,Yen,JPY,392,9.76,6.76,8.26
2025-02-17,Rand,ZAR,710,Yen,JPY,392,9.77,6.77,8.27
2025-02-18,Rand,ZAR,710,Yen,JPY,392,9.72,6.72,8.22
2025-02-19,Rand,ZAR,710,Yen,JPY,392,9.76,6.76,8.26
2025-02-20,Rand,ZAR,710,Yen,JPY,392,9.65,6.65,8.15
2025-02-21,Rand,ZAR,710,Yen,JPY,392,9.67,6.67,8.17
2025-02-25,Rand,ZAR,710,Yen,JPY,392,9.66,6.66,8.16
2025-02-26,Rand,ZAR,710,Yen,JPY,392,9.58,6.58,8.08
2025-02-27,Rand,ZAR,710,Yen,JPY,392,9.6,6.6,8.1
2025-02-28,Rand,ZAR,710,Yen,JPY,392,9.61,6.61,8.11
