date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2018/01/04,MUFG,AED,JPY,31.43,30.07,30.75
2018/01/05,MUFG,AED,JPY,31.45,30.09,30.77
2018/01/09,MUFG,AED,JPY,31.54,30.18,30.86
2018/01/10,MUFG,AED,JPY,31.35,29.99,30.67
2018/01/11,MUFG,AED,JPY,31.08,29.72,30.4
2018/01/12,MUFG,AED,JPY,31.01,29.65,30.33
2018/01/15,MUFG,AED,JPY,30.92,29.56,30.24
2018/01/16,MUFG,AED,JPY,30.91,29.55,30.23
2018/01/17,MUFG,AED,JPY,30.78,29.42,30.1
2018/01/18,MUFG,AED,JPY,31.05,29.69,30.37
2018/01/19,MUFG,AED,JPY,30.99,29.63,30.31
2018/01/22,MUFG,AED,JPY,30.78,29.42,30.1
2018/01/23,MUFG,AED,JPY,30.94,29.58,30.26
2018/01/24,MUFG,AED,JPY,30.75,29.39,30.07
2018/01/25,MUFG,AED,JPY,30.54,29.18,29.86
2018/01/26,MUFG,AED,JPY,30.63,29.27,29.95
2018/01/29,MUFG,AED,JPY,30.33,28.97,29.65
2018/01/30,MUFG,AED,JPY,30.32,28.96,29.64
2018/01/31,MUFG,AED,JPY,30.36,29.,29.68
2018/02/01,MUFG,AED,JPY,30.48,29.12,29.8
2018/02/02,MUFG,AED,JPY,30.54,29.18,29.86
2018/02/05,MUFG,AED,JPY,30.65,29.29,29.97
2018/02/06,MUFG,AED,JPY,30.34,28.98,29.66
2018/02/07,MUFG,AED,JPY,30.51,29.15,29.83
2018/02/08,MUFG,AED,JPY,30.52,29.16,29.84
2018/02/09,MUFG,AED,JPY,30.37,29.01,29.69
2018/02/13,MUFG,AED,JPY,30.33,28.97,29.65
2018/02/14,MUFG,AED,JPY,30.09,28.73,29.41
2018/02/15,MUFG,AED,JPY,29.82,28.46,29.14
2018/02/16,MUFG,AED,JPY,29.67,28.31,28.99
2018/02/19,MUFG,AED,JPY,29.67,28.31,28.99
2018/02/20,MUFG,AED,JPY,29.8,28.44,29.12
2018/02/21,MUFG,AED,JPY,30.01,28.65,29.33
2018/02/22,MUFG,AED,JPY,29.91,28.55,29.23
2018/02/23,MUFG,AED,JPY,29.86,28.5,29.18
2018/02/26,MUFG,AED,JPY,29.84,28.48,29.16
2018/02/27,MUFG,AED,JPY,29.82,28.46,29.14
2018/02/28,MUFG,AED,JPY,29.97,28.61,29.29
2018/03/01,MUFG,AED,JPY,29.79,28.43,29.11
2018/03/02,MUFG,AED,JPY,29.66,28.3,28.98
2018/03/05,MUFG,AED,JPY,29.46,28.1,28.78
2018/03/06,MUFG,AED,JPY,29.57,28.21,28.89
2018/03/07,MUFG,AED,JPY,29.48,28.12,28.8
2018/03/08,MUFG,AED,JPY,29.52,28.16,28.84
2018/03/09,MUFG,AED,JPY,29.69,28.33,29.01
2018/03/12,MUFG,AED,JPY,29.77,28.41,29.09
2018/03/13,MUFG,AED,JPY,29.69,28.33,29.01
2018/03/14,MUFG,AED,JPY,29.78,28.42,29.1
2018/03/15,MUFG,AED,JPY,29.6,28.24,28.92
2018/03/16,MUFG,AED,JPY,29.57,28.21,28.89
2018/03/19,MUFG,AED,JPY,29.57,28.21,28.89
2018/03/20,MUFG,AED,JPY,29.62,28.26,28.94
2018/03/22,MUFG,AED,JPY,29.39,28.03,28.71
2018/03/23,MUFG,AED,JPY,29.3,27.94,28.62
2018/03/26,MUFG,AED,JPY,29.31,27.95,28.63
2018/03/27,MUFG,AED,JPY,29.47,28.11,28.79
2018/03/28,MUFG,AED,JPY,29.45,28.09,28.77
