date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2020/02/03,MUFG,AED,JPY,30.27,28.91,29.59
2020/02/04,MUFG,AED,JPY,30.2,28.84,29.52
2020/02/05,MUFG,AED,JPY,30.45,29.09,29.77
2020/02/06,MUFG,AED,JPY,30.64,29.28,29.96
2020/02/07,MUFG,AED,JPY,30.66,29.3,29.98
2020/02/10,MUFG,AED,JPY,30.49,29.13,29.81
2020/02/12,MUFG,AED,JPY,30.64,29.28,29.96
2020/02/13,MUFG,AED,JPY,30.65,29.29,29.97
2020/02/14,MUFG,AED,JPY,30.65,29.29,29.97
2020/02/17,MUFG,AED,JPY,30.53,29.17,29.85
2020/02/18,MUFG,AED,JPY,30.64,29.28,29.96
2020/02/19,MUFG,AED,JPY,30.66,29.3,29.98
2020/02/20,MUFG,AED,JPY,31.03,29.67,30.35
2020/02/21,MUFG,AED,JPY,31.25,29.89,30.57
2020/02/25,MUFG,AED,JPY,30.93,29.57,30.25
2020/02/26,MUFG,AED,JPY,30.76,29.4,30.08
2020/02/27,MUFG,AED,JPY,30.67,29.31,29.99
2020/02/28,MUFG,AED,JPY,30.52,29.16,29.84
