date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/10/01,MUFG,AUD,JPY,75.09,71.09,73.09
2019/10/02,MUFG,AUD,JPY,74.25,70.25,72.25
2019/10/03,MUFG,AUD,JPY,73.84,69.84,71.84
2019/10/04,MUFG,AUD,JPY,74.12,70.12,72.12
2019/10/07,MUFG,AUD,JPY,74.16,70.16,72.16
2019/10/08,MUFG,AUD,JPY,74.29,70.29,72.29
2019/10/09,MUFG,AUD,JPY,74.13,70.13,72.13
2019/10/10,MUFG,AUD,JPY,74.12,70.12,72.12
2019/10/11,MUFG,AUD,JPY,75.2,71.2,73.2
2019/10/15,MUFG,AUD,JPY,75.42,71.42,73.42
2019/10/16,MUFG,AUD,JPY,75.27,71.27,73.27
2019/10/17,MUFG,AUD,JPY,75.81,71.81,73.81
2019/10/18,MUFG,AUD,JPY,76.26,72.26,74.26
2019/10/21,MUFG,AUD,JPY,76.42,72.42,74.42
2019/10/23,MUFG,AUD,JPY,76.35,72.35,74.35
2019/10/24,MUFG,AUD,JPY,76.4,72.4,74.4
2019/10/25,MUFG,AUD,JPY,76.13,72.13,74.13
2019/10/28,MUFG,AUD,JPY,76.21,72.21,74.21
2019/10/29,MUFG,AUD,JPY,76.56,72.56,74.56
2019/10/30,MUFG,AUD,JPY,76.75,72.75,74.75
2019/10/31,MUFG,AUD,JPY,77.28,73.28,75.28
