date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/01/04,MUFG,AUD,JPY,90.35,86.35,88.35
2023/01/05,MUFG,AUD,JPY,92.32,88.32,90.32
2023/01/06,MUFG,AUD,JPY,92.46,88.46,90.46
2023/01/10,MUFG,AUD,JPY,93.1,89.1,91.1
2023/01/11,MUFG,AUD,JPY,93.33,89.33,91.33
2023/01/12,MUFG,AUD,JPY,93.24,89.24,91.24
2023/01/13,MUFG,AUD,JPY,92.06,88.06,90.06
2023/01/16,MUFG,AUD,JPY,91.42,87.42,89.42
2023/01/17,MUFG,AUD,JPY,91.51,87.51,89.51
2023/01/18,MUFG,AUD,JPY,93.51,89.51,91.51
2023/01/19,MUFG,AUD,JPY,90.75,86.75,88.75
2023/01/20,MUFG,AUD,JPY,90.93,86.93,88.93
2023/01/23,MUFG,AUD,JPY,92.3,88.3,90.3
2023/01/24,MUFG,AUD,JPY,93.7,89.7,91.7
2023/01/25,MUFG,AUD,JPY,94.14,90.14,92.14
2023/01/26,MUFG,AUD,JPY,93.87,89.87,91.87
2023/01/27,MUFG,AUD,JPY,94.27,90.27,92.27
2023/01/30,MUFG,AUD,JPY,94.59,90.59,92.59
2023/01/31,MUFG,AUD,JPY,93.93,89.93,91.93
2023/02/01,MUFG,AUD,JPY,93.59,89.59,91.59
2023/02/02,MUFG,AUD,JPY,93.9,89.9,91.9
2023/02/03,MUFG,AUD,JPY,93.01,89.01,91.01
2023/02/06,MUFG,AUD,JPY,93.45,89.45,91.45
2023/02/07,MUFG,AUD,JPY,93.39,89.39,91.39
2023/02/08,MUFG,AUD,JPY,93.19,89.19,91.19
2023/02/09,MUFG,AUD,JPY,93.17,89.17,91.17
2023/02/10,MUFG,AUD,JPY,93.37,89.37,91.37
2023/02/13,MUFG,AUD,JPY,93.06,89.06,91.06
2023/02/14,MUFG,AUD,JPY,94.2,90.2,92.2
2023/02/15,MUFG,AUD,JPY,94.69,90.69,92.69
2023/02/16,MUFG,AUD,JPY,94.15,90.15,92.15
2023/02/17,MUFG,AUD,JPY,94.2,90.2,92.2
2023/02/20,MUFG,AUD,JPY,94.33,90.33,92.33
2023/02/21,MUFG,AUD,JPY,94.82,90.82,92.82
2023/02/22,MUFG,AUD,JPY,94.46,90.46,92.46
2023/02/24,MUFG,AUD,JPY,93.45,89.45,91.45
2023/02/27,MUFG,AUD,JPY,93.7,89.7,91.7
2023/02/28,MUFG,AUD,JPY,93.9,89.9,91.9
2023/03/01,MUFG,AUD,JPY,93.33,89.33,91.33
2023/03/02,MUFG,AUD,JPY,93.97,89.97,91.97
2023/03/03,MUFG,AUD,JPY,94.18,90.18,92.18
