date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/01/04,MUFG,CAD,JPY,81.4,78.2,79.8
2019/01/07,MUFG,CAD,JPY,82.71,79.51,81.11
2019/01/08,MUFG,CAD,JPY,83.44,80.24,81.84
2019/01/09,MUFG,CAD,JPY,83.63,80.43,82.03
2019/01/10,MUFG,CAD,JPY,83.43,80.23,81.83
2019/01/11,MUFG,CAD,JPY,83.54,80.34,81.94
2019/01/15,MUFG,CAD,JPY,83.29,80.09,81.69
2019/01/16,MUFG,CAD,JPY,83.36,80.16,81.76
2019/01/17,MUFG,CAD,JPY,83.79,80.59,82.19
2019/01/18,MUFG,CAD,JPY,83.96,80.76,82.36
2019/01/21,MUFG,CAD,JPY,84.28,81.08,82.68
2019/01/22,MUFG,CAD,JPY,84.02,80.82,82.42
2019/01/23,MUFG,CAD,JPY,83.69,80.49,82.09
2019/01/24,MUFG,CAD,JPY,83.73,80.53,82.13
2019/01/25,MUFG,CAD,JPY,83.84,80.64,82.24
2019/01/28,MUFG,CAD,JPY,84.33,81.13,82.73
2019/01/29,MUFG,CAD,JPY,83.84,80.64,82.24
2019/01/30,MUFG,CAD,JPY,84.03,80.83,82.43
2019/01/31,MUFG,CAD,JPY,84.48,81.28,82.88
2019/02/01,MUFG,CAD,JPY,84.6,81.4,83.
2019/02/04,MUFG,CAD,JPY,85.24,82.04,83.64
2019/02/05,MUFG,CAD,JPY,85.5,82.3,83.9
2019/02/06,MUFG,CAD,JPY,85.26,82.06,83.66
2019/02/07,MUFG,CAD,JPY,84.79,81.59,83.19
2019/02/08,MUFG,CAD,JPY,84.06,80.86,82.46
2019/02/12,MUFG,CAD,JPY,84.68,81.48,83.08
2019/02/13,MUFG,CAD,JPY,85.15,81.95,83.55
2019/02/14,MUFG,CAD,JPY,85.33,82.13,83.73
2019/02/15,MUFG,CAD,JPY,84.59,81.39,82.99
2019/02/18,MUFG,CAD,JPY,85.11,81.91,83.51
2019/02/19,MUFG,CAD,JPY,85.02,81.82,83.42
2019/02/20,MUFG,CAD,JPY,85.44,82.24,83.84
2019/02/21,MUFG,CAD,JPY,85.65,82.45,84.05
2019/02/22,MUFG,CAD,JPY,85.33,82.13,83.73
2019/02/25,MUFG,CAD,JPY,85.93,82.73,84.33
2019/02/26,MUFG,CAD,JPY,85.77,82.57,84.17
2019/02/27,MUFG,CAD,JPY,85.55,82.35,83.95
2019/02/28,MUFG,CAD,JPY,85.91,82.71,84.31
2019/03/01,MUFG,CAD,JPY,86.31,83.11,84.71
2019/03/04,MUFG,CAD,JPY,85.93,82.73,84.33
2019/03/05,MUFG,CAD,JPY,85.6,82.4,84.
2019/03/06,MUFG,CAD,JPY,85.23,82.03,83.63
2019/03/07,MUFG,CAD,JPY,84.66,81.46,83.06
2019/03/08,MUFG,CAD,JPY,84.54,81.34,82.94
2019/03/11,MUFG,CAD,JPY,84.22,81.02,82.62
2019/03/12,MUFG,CAD,JPY,84.77,81.57,83.17
2019/03/13,MUFG,CAD,JPY,84.93,81.73,83.33
2019/03/14,MUFG,CAD,JPY,85.26,82.06,83.66
2019/03/15,MUFG,CAD,JPY,85.58,82.38,83.98
2019/03/18,MUFG,CAD,JPY,85.24,82.04,83.64
2019/03/19,MUFG,CAD,JPY,85.06,81.86,83.46
2019/03/20,MUFG,CAD,JPY,85.31,82.11,83.71
2019/03/22,MUFG,CAD,JPY,84.44,81.24,82.84
2019/03/25,MUFG,CAD,JPY,83.4,80.2,81.8
2019/03/26,MUFG,CAD,JPY,83.9,80.7,82.3
2019/03/27,MUFG,CAD,JPY,84.15,80.95,82.55
2019/03/28,MUFG,CAD,JPY,83.85,80.65,82.25
2019/03/29,MUFG,CAD,JPY,84.24,81.04,82.64
2019/04/01,MUFG,CAD,JPY,84.79,81.59,83.19
2019/04/02,MUFG,CAD,JPY,85.35,82.15,83.75
2019/04/03,MUFG,CAD,JPY,85.27,82.07,83.67
2019/04/04,MUFG,CAD,JPY,85.19,81.99,83.59
2019/04/05,MUFG,CAD,JPY,85.25,82.05,83.65
2019/04/08,MUFG,CAD,JPY,84.88,81.68,83.28
2019/04/09,MUFG,CAD,JPY,85.31,82.11,83.71
2019/04/10,MUFG,CAD,JPY,85.,81.8,83.4
2019/04/11,MUFG,CAD,JPY,84.92,81.72,83.32
2019/04/12,MUFG,CAD,JPY,85.18,81.98,83.58
2019/04/15,MUFG,CAD,JPY,85.61,82.41,84.01
2019/04/16,MUFG,CAD,JPY,85.31,82.11,83.71
2019/04/17,MUFG,CAD,JPY,85.51,82.31,83.91
2019/04/18,MUFG,CAD,JPY,85.5,82.3,83.9
2019/04/19,MUFG,CAD,JPY,85.38,82.18,83.78
2019/04/22,MUFG,CAD,JPY,85.31,82.11,83.71
2019/04/23,MUFG,CAD,JPY,85.33,82.13,83.73
2019/04/24,MUFG,CAD,JPY,84.9,81.7,83.3
2019/04/25,MUFG,CAD,JPY,84.8,81.6,83.2
2019/04/26,MUFG,CAD,JPY,84.55,81.35,82.95
2019/05/07,MUFG,CAD,JPY,83.93,80.73,82.33
2019/05/08,MUFG,CAD,JPY,83.38,80.18,81.78
2019/05/09,MUFG,CAD,JPY,83.23,80.03,81.63
2019/05/10,MUFG,CAD,JPY,83.27,80.07,81.67
2019/05/13,MUFG,CAD,JPY,83.28,80.08,81.68
2019/05/14,MUFG,CAD,JPY,82.88,79.68,81.28
2019/05/15,MUFG,CAD,JPY,82.96,79.76,81.36
2019/05/16,MUFG,CAD,JPY,83.07,79.87,81.47
2019/05/17,MUFG,CAD,JPY,83.26,80.06,81.66
2019/05/20,MUFG,CAD,JPY,83.58,80.38,81.98
2019/05/21,MUFG,CAD,JPY,83.64,80.44,82.04
2019/05/22,MUFG,CAD,JPY,84.02,80.82,82.42
2019/05/23,MUFG,CAD,JPY,83.64,80.44,82.04
2019/05/24,MUFG,CAD,JPY,83.,79.8,81.4
2019/05/27,MUFG,CAD,JPY,83.07,79.87,81.47
2019/05/28,MUFG,CAD,JPY,83.13,79.93,81.53
2019/05/29,MUFG,CAD,JPY,82.59,79.39,80.99
2019/05/30,MUFG,CAD,JPY,82.67,79.47,81.07
2019/05/31,MUFG,CAD,JPY,82.4,79.2,80.8
