date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/09/02,MUFG,CAD,JPY,81.3,78.1,79.7
2019/09/03,MUFG,CAD,JPY,81.34,78.14,79.74
2019/09/04,MUFG,CAD,JPY,81.03,77.83,79.43
2019/09/05,MUFG,CAD,JPY,82.03,78.83,80.43
2019/09/06,MUFG,CAD,JPY,82.52,79.32,80.92
2019/09/09,MUFG,CAD,JPY,82.78,79.58,81.18
2019/09/10,MUFG,CAD,JPY,83.15,79.95,81.55
2019/09/11,MUFG,CAD,JPY,83.46,80.26,81.86
2019/09/12,MUFG,CAD,JPY,83.6,80.4,82.
2019/09/13,MUFG,CAD,JPY,83.53,80.33,81.93
2019/09/17,MUFG,CAD,JPY,83.33,80.13,81.73
2019/09/18,MUFG,CAD,JPY,83.26,80.06,81.66
2019/09/19,MUFG,CAD,JPY,83.08,79.88,81.48
2019/09/20,MUFG,CAD,JPY,83.04,79.84,81.44
2019/09/24,MUFG,CAD,JPY,82.81,79.61,81.21
2019/09/25,MUFG,CAD,JPY,82.42,79.22,80.82
2019/09/26,MUFG,CAD,JPY,82.82,79.62,81.22
2019/09/27,MUFG,CAD,JPY,82.82,79.62,81.22
2019/09/30,MUFG,CAD,JPY,83.09,79.89,81.49
