date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/12/02,MUFG,CHF,JPY,110.49,108.69,109.59
2019/12/03,MUFG,CHF,JPY,110.95,109.15,110.05
2019/12/04,MUFG,CHF,JPY,110.92,109.12,110.02
2019/12/05,MUFG,CHF,JPY,111.09,109.29,110.19
2019/12/06,MUFG,CHF,JPY,111.1,109.3,110.2
2019/12/09,MUFG,CHF,JPY,110.57,108.77,109.67
2019/12/10,MUFG,CHF,JPY,110.86,109.06,109.96
2019/12/11,MUFG,CHF,JPY,111.38,109.58,110.48
2019/12/12,MUFG,CHF,JPY,111.41,109.61,110.51
2019/12/13,MUFG,CHF,JPY,112.07,110.27,111.17
2019/12/16,MUFG,CHF,JPY,112.09,110.29,111.19
2019/12/17,MUFG,CHF,JPY,112.3,110.5,111.4
2019/12/18,MUFG,CHF,JPY,112.65,110.85,111.75
2019/12/19,MUFG,CHF,JPY,112.72,110.92,111.82
2019/12/20,MUFG,CHF,JPY,112.73,110.93,111.83
2019/12/23,MUFG,CHF,JPY,112.21,110.41,111.31
2019/12/24,MUFG,CHF,JPY,112.39,110.59,111.49
2019/12/25,MUFG,CHF,JPY,112.46,110.66,111.56
2019/12/26,MUFG,CHF,JPY,112.58,110.78,111.68
2019/12/27,MUFG,CHF,JPY,112.76,110.96,111.86
2019/12/30,MUFG,CHF,JPY,113.3,111.5,112.4
