date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/01/04,MUFG,CHF,JPY,117.53,115.73,116.63
2021/01/05,MUFG,CHF,JPY,117.93,116.13,117.03
2021/01/06,MUFG,CHF,JPY,117.89,116.09,116.99
2021/01/07,MUFG,CHF,JPY,118.16,116.36,117.26
2021/01/08,MUFG,CHF,JPY,118.15,116.35,117.25
2021/01/12,MUFG,CHF,JPY,117.99,116.19,117.09
2021/01/13,MUFG,CHF,JPY,117.91,116.11,117.01
2021/01/14,MUFG,CHF,JPY,118.05,116.25,117.15
2021/01/15,MUFG,CHF,JPY,117.84,116.04,116.94
2021/01/18,MUFG,CHF,JPY,117.38,115.58,116.48
2021/01/19,MUFG,CHF,JPY,117.37,115.57,116.47
2021/01/20,MUFG,CHF,JPY,117.95,116.15,117.05
2021/01/21,MUFG,CHF,JPY,117.38,115.58,116.48
2021/01/22,MUFG,CHF,JPY,117.87,116.07,116.97
2021/01/25,MUFG,CHF,JPY,118.21,116.41,117.31
2021/01/26,MUFG,CHF,JPY,117.71,115.91,116.81
2021/01/27,MUFG,CHF,JPY,117.84,116.04,116.94
2021/01/28,MUFG,CHF,JPY,118.03,116.23,117.13
2021/01/29,MUFG,CHF,JPY,118.39,116.59,117.49
2021/02/01,MUFG,CHF,JPY,118.37,116.57,117.47
2021/02/02,MUFG,CHF,JPY,117.82,116.02,116.92
2021/02/03,MUFG,CHF,JPY,117.88,116.08,116.98
2021/02/04,MUFG,CHF,JPY,117.74,115.94,116.84
2021/02/05,MUFG,CHF,JPY,117.67,115.87,116.77
2021/02/08,MUFG,CHF,JPY,118.15,116.35,117.25
2021/02/09,MUFG,CHF,JPY,117.97,116.17,117.07
2021/02/10,MUFG,CHF,JPY,118.11,116.31,117.21
2021/02/12,MUFG,CHF,JPY,118.55,116.75,117.65
2021/02/15,MUFG,CHF,JPY,118.75,116.95,117.85
2021/02/16,MUFG,CHF,JPY,119.55,117.75,118.65
2021/02/17,MUFG,CHF,JPY,119.71,117.91,118.81
2021/02/18,MUFG,CHF,JPY,118.64,116.84,117.74
2021/02/19,MUFG,CHF,JPY,118.9,117.1,118.
2021/02/22,MUFG,CHF,JPY,118.54,116.74,117.64
2021/02/24,MUFG,CHF,JPY,117.3,115.5,116.4
2021/02/25,MUFG,CHF,JPY,117.83,116.03,116.93
2021/02/26,MUFG,CHF,JPY,118.24,116.44,117.34
2021/03/01,MUFG,CHF,JPY,118.24,116.44,117.34
2021/03/02,MUFG,CHF,JPY,117.65,115.85,116.75
2021/03/03,MUFG,CHF,JPY,117.61,115.81,116.71
2021/03/04,MUFG,CHF,JPY,117.28,115.48,116.38
2021/03/05,MUFG,CHF,JPY,117.01,115.21,116.11
2021/03/08,MUFG,CHF,JPY,117.41,115.61,116.51
2021/03/09,MUFG,CHF,JPY,117.39,115.59,116.49
2021/03/10,MUFG,CHF,JPY,117.81,116.01,116.91
2021/03/11,MUFG,CHF,JPY,117.49,115.69,116.59
2021/03/12,MUFG,CHF,JPY,118.32,116.52,117.42
2021/03/15,MUFG,CHF,JPY,118.32,116.52,117.42
2021/03/16,MUFG,CHF,JPY,118.66,116.86,117.76
2021/03/17,MUFG,CHF,JPY,118.83,117.03,117.93
2021/03/18,MUFG,CHF,JPY,119.05,117.25,118.15
2021/03/19,MUFG,CHF,JPY,118.44,116.64,117.54
2021/03/22,MUFG,CHF,JPY,118.01,116.21,117.11
2021/03/23,MUFG,CHF,JPY,118.66,116.86,117.76
2021/03/24,MUFG,CHF,JPY,117.17,115.37,116.27
2021/03/25,MUFG,CHF,JPY,117.26,115.46,116.36
2021/03/26,MUFG,CHF,JPY,117.26,115.46,116.36
2021/03/29,MUFG,CHF,JPY,117.52,115.72,116.62
2021/03/30,MUFG,CHF,JPY,117.86,116.06,116.96
2021/03/31,MUFG,CHF,JPY,118.35,116.55,117.45
2021/04/01,MUFG,CHF,JPY,118.22,116.42,117.32
2021/04/02,MUFG,CHF,JPY,118.34,116.54,117.44
2021/04/05,MUFG,CHF,JPY,118.33,116.53,117.43
2021/04/06,MUFG,CHF,JPY,118.61,116.81,117.71
2021/04/07,MUFG,CHF,JPY,118.77,116.97,117.87
2021/04/08,MUFG,CHF,JPY,118.98,117.18,118.08
2021/04/09,MUFG,CHF,JPY,119.2,117.4,118.3
2021/04/12,MUFG,CHF,JPY,119.51,117.71,118.61
2021/04/13,MUFG,CHF,JPY,119.56,117.76,118.66
2021/04/14,MUFG,CHF,JPY,119.18,117.38,118.28
2021/04/15,MUFG,CHF,JPY,118.97,117.17,118.07
2021/04/16,MUFG,CHF,JPY,118.75,116.95,117.85
2021/04/19,MUFG,CHF,JPY,118.94,117.14,118.04
2021/04/20,MUFG,CHF,JPY,119.13,117.33,118.23
2021/04/21,MUFG,CHF,JPY,118.89,117.09,117.99
2021/04/22,MUFG,CHF,JPY,118.79,116.99,117.89
2021/04/23,MUFG,CHF,JPY,118.62,116.82,117.72
2021/04/26,MUFG,CHF,JPY,119.03,117.23,118.13
2021/04/27,MUFG,CHF,JPY,119.17,117.37,118.27
2021/04/28,MUFG,CHF,JPY,119.98,118.18,119.08
2021/04/30,MUFG,CHF,JPY,120.76,118.96,119.86
2021/05/06,MUFG,CHF,JPY,120.52,118.72,119.62
2021/05/07,MUFG,CHF,JPY,121.15,119.35,120.25
2021/05/10,MUFG,CHF,JPY,121.61,119.81,120.71
2021/05/11,MUFG,CHF,JPY,121.81,120.01,120.91
2021/05/12,MUFG,CHF,JPY,121.2,119.4,120.3
2021/05/13,MUFG,CHF,JPY,121.53,119.73,120.63
2021/05/14,MUFG,CHF,JPY,121.9,120.1,121.
2021/05/17,MUFG,CHF,JPY,122.21,120.41,121.31
2021/05/18,MUFG,CHF,JPY,121.8,120.,120.9
2021/05/19,MUFG,CHF,JPY,122.32,120.52,121.42
2021/05/20,MUFG,CHF,JPY,121.73,119.93,120.83
2021/05/21,MUFG,CHF,JPY,122.25,120.45,121.35
2021/05/24,MUFG,CHF,JPY,122.3,120.5,121.4
2021/05/25,MUFG,CHF,JPY,122.3,120.5,121.4
2021/05/26,MUFG,CHF,JPY,122.34,120.54,121.44
2021/05/27,MUFG,CHF,JPY,122.43,120.63,121.53
2021/05/28,MUFG,CHF,JPY,123.44,121.64,122.54
2021/05/31,MUFG,CHF,JPY,122.81,121.01,121.91
2021/06/01,MUFG,CHF,JPY,122.66,120.86,121.76
2021/06/02,MUFG,CHF,JPY,123.14,121.34,122.24
2021/06/03,MUFG,CHF,JPY,122.92,121.12,122.02
2021/06/04,MUFG,CHF,JPY,122.92,121.12,122.02
2021/06/07,MUFG,CHF,JPY,122.77,120.97,121.87
2021/06/08,MUFG,CHF,JPY,122.78,120.98,121.88
2021/06/09,MUFG,CHF,JPY,122.93,121.13,122.03
2021/06/10,MUFG,CHF,JPY,123.25,121.45,122.35
2021/06/11,MUFG,CHF,JPY,123.3,121.5,122.4
2021/06/14,MUFG,CHF,JPY,123.07,121.27,122.17
2021/06/15,MUFG,CHF,JPY,123.33,121.53,122.43
2021/06/16,MUFG,CHF,JPY,123.5,121.7,122.6
2021/06/17,MUFG,CHF,JPY,122.81,121.01,121.91
2021/06/18,MUFG,CHF,JPY,121.03,119.23,120.13
2021/06/21,MUFG,CHF,JPY,120.49,118.69,119.59
2021/06/22,MUFG,CHF,JPY,120.87,119.07,119.97
2021/06/23,MUFG,CHF,JPY,121.41,119.61,120.51
2021/06/24,MUFG,CHF,JPY,121.84,120.04,120.94
2021/06/25,MUFG,CHF,JPY,121.82,120.02,120.92
2021/06/28,MUFG,CHF,JPY,121.53,119.73,120.63
2021/06/29,MUFG,CHF,JPY,121.,119.2,120.1
2021/06/30,MUFG,CHF,JPY,120.95,119.15,120.05
2021/07/01,MUFG,CHF,JPY,120.9,119.1,120.
2021/07/02,MUFG,CHF,JPY,121.51,119.71,120.61
2021/07/05,MUFG,CHF,JPY,121.45,119.65,120.55
2021/07/06,MUFG,CHF,JPY,121.19,119.39,120.29
2021/07/07,MUFG,CHF,JPY,120.35,118.55,119.45
2021/07/08,MUFG,CHF,JPY,120.34,118.54,119.44
2021/07/09,MUFG,CHF,JPY,121.,119.2,120.1
2021/07/12,MUFG,CHF,JPY,121.41,119.61,120.51
2021/07/13,MUFG,CHF,JPY,121.6,119.8,120.7
2021/07/14,MUFG,CHF,JPY,121.31,119.51,120.41
2021/07/15,MUFG,CHF,JPY,121.11,119.31,120.21
2021/07/16,MUFG,CHF,JPY,120.63,118.83,119.73
2021/07/19,MUFG,CHF,JPY,120.44,118.64,119.54
2021/07/20,MUFG,CHF,JPY,120.19,118.39,119.29
2021/07/21,MUFG,CHF,JPY,120.27,118.47,119.37
2021/07/26,MUFG,CHF,JPY,121.04,119.24,120.14
2021/07/27,MUFG,CHF,JPY,121.37,119.57,120.47
2021/07/28,MUFG,CHF,JPY,120.94,119.14,120.04
2021/07/29,MUFG,CHF,JPY,121.52,119.72,120.62
2021/07/30,MUFG,CHF,JPY,121.75,119.95,120.85
2021/08/02,MUFG,CHF,JPY,121.91,120.11,121.01
2021/08/03,MUFG,CHF,JPY,121.65,119.85,120.75
2021/08/04,MUFG,CHF,JPY,121.53,119.73,120.63
2021/08/05,MUFG,CHF,JPY,121.76,119.96,120.86
2021/08/06,MUFG,CHF,JPY,122.03,120.23,121.13
2021/08/10,MUFG,CHF,JPY,120.84,119.04,119.94
2021/08/11,MUFG,CHF,JPY,120.82,119.02,119.92
2021/08/12,MUFG,CHF,JPY,120.63,118.83,119.73
2021/08/13,MUFG,CHF,JPY,120.52,118.72,119.62
2021/08/16,MUFG,CHF,JPY,120.52,118.72,119.62
2021/08/17,MUFG,CHF,JPY,120.54,118.74,119.64
2021/08/18,MUFG,CHF,JPY,120.64,118.84,119.74
2021/08/19,MUFG,CHF,JPY,120.62,118.82,119.72
2021/08/20,MUFG,CHF,JPY,120.61,118.81,119.71
2021/08/23,MUFG,CHF,JPY,120.67,118.87,119.77
2021/08/24,MUFG,CHF,JPY,121.13,119.33,120.23
2021/08/25,MUFG,CHF,JPY,121.02,119.22,120.12
2021/08/26,MUFG,CHF,JPY,121.33,119.53,120.43
2021/08/27,MUFG,CHF,JPY,120.71,118.91,119.81
2021/08/30,MUFG,CHF,JPY,121.39,119.59,120.49
2021/08/31,MUFG,CHF,JPY,120.8,119.,119.9
2021/09/01,MUFG,CHF,JPY,121.14,119.34,120.24
2021/09/02,MUFG,CHF,JPY,121.05,119.25,120.15
