date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2018/01/04,MUFG,CNY,JPY,17.64,17.04,17.34
2018/01/05,MUFG,CNY,JPY,17.69,17.09,17.39
2018/01/09,MUFG,CNY,JPY,17.7,17.1,17.4
2018/01/10,MUFG,CNY,JPY,17.51,16.91,17.21
2018/01/11,MUFG,CNY,JPY,17.4,16.8,17.1
2018/01/12,MUFG,CNY,JPY,17.44,16.84,17.14
2018/01/15,MUFG,CNY,JPY,17.49,16.89,17.19
2018/01/16,MUFG,CNY,JPY,17.51,16.91,17.21
2018/01/17,MUFG,CNY,JPY,17.48,16.88,17.18
2018/01/18,MUFG,CNY,JPY,17.59,16.99,17.29
2018/01/19,MUFG,CNY,JPY,17.64,17.04,17.34
2018/01/22,MUFG,CNY,JPY,17.61,17.01,17.31
2018/01/23,MUFG,CNY,JPY,17.65,17.05,17.35
2018/01/24,MUFG,CNY,JPY,17.54,16.94,17.24
2018/01/25,MUFG,CNY,JPY,17.53,16.93,17.23
2018/01/26,MUFG,CNY,JPY,17.64,17.04,17.34
2018/01/29,MUFG,CNY,JPY,17.5,16.9,17.2
2018/01/30,MUFG,CNY,JPY,17.5,16.9,17.2
2018/01/31,MUFG,CNY,JPY,17.49,16.89,17.19
2018/02/01,MUFG,CNY,JPY,17.64,17.04,17.34
2018/02/02,MUFG,CNY,JPY,17.71,17.11,17.41
2018/02/05,MUFG,CNY,JPY,17.72,17.12,17.42
2018/02/06,MUFG,CNY,JPY,17.56,16.96,17.26
2018/02/07,MUFG,CNY,JPY,17.75,17.15,17.45
2018/02/08,MUFG,CNY,JPY,17.63,17.03,17.33
2018/02/09,MUFG,CNY,JPY,17.43,16.83,17.13
2018/02/13,MUFG,CNY,JPY,17.48,16.88,17.18
2018/02/14,MUFG,CNY,JPY,17.34,16.74,17.04
2018/02/15,MUFG,CNY,JPY,17.25,16.65,16.95
2018/02/16,MUFG,CNY,JPY,17.24,16.64,16.94
2018/02/19,MUFG,CNY,JPY,17.18,16.58,16.88
2018/02/20,MUFG,CNY,JPY,17.24,16.64,16.94
2018/02/21,MUFG,CNY,JPY,17.27,16.67,16.97
2018/02/22,MUFG,CNY,JPY,17.25,16.65,16.95
2018/02/23,MUFG,CNY,JPY,17.19,16.59,16.89
2018/02/26,MUFG,CNY,JPY,17.2,16.6,16.9
2018/02/27,MUFG,CNY,JPY,17.28,16.68,16.98
2018/02/28,MUFG,CNY,JPY,17.28,16.68,16.98
2018/03/01,MUFG,CNY,JPY,17.15,16.55,16.85
2018/03/02,MUFG,CNY,JPY,17.04,16.44,16.74
2018/03/05,MUFG,CNY,JPY,16.99,16.39,16.69
2018/03/06,MUFG,CNY,JPY,17.09,16.49,16.79
2018/03/07,MUFG,CNY,JPY,17.,16.4,16.7
2018/03/08,MUFG,CNY,JPY,17.08,16.48,16.78
2018/03/09,MUFG,CNY,JPY,17.13,16.53,16.83
2018/03/12,MUFG,CNY,JPY,17.22,16.62,16.92
2018/03/13,MUFG,CNY,JPY,17.14,16.54,16.84
2018/03/14,MUFG,CNY,JPY,17.18,16.58,16.88
2018/03/15,MUFG,CNY,JPY,17.13,16.53,16.83
2018/03/16,MUFG,CNY,JPY,17.09,16.49,16.79
2018/03/19,MUFG,CNY,JPY,17.03,16.43,16.73
2018/03/20,MUFG,CNY,JPY,17.1,16.5,16.8
2018/03/22,MUFG,CNY,JPY,17.05,16.45,16.75
2018/03/23,MUFG,CNY,JPY,16.87,16.27,16.57
2018/03/26,MUFG,CNY,JPY,16.94,16.34,16.64
2018/03/27,MUFG,CNY,JPY,17.19,16.59,16.89
2018/03/28,MUFG,CNY,JPY,17.15,16.55,16.85
2018/03/29,MUFG,CNY,JPY,17.3,16.7,17.
2018/03/30,MUFG,CNY,JPY,17.22,16.62,16.92
2018/04/02,MUFG,CNY,JPY,17.3,16.7,17.
2018/04/03,MUFG,CNY,JPY,17.17,16.57,16.87
2018/04/04,MUFG,CNY,JPY,17.28,16.68,16.98
2018/04/05,MUFG,CNY,JPY,17.28,16.68,16.98
2018/04/06,MUFG,CNY,JPY,17.3,16.7,17.
2018/04/09,MUFG,CNY,JPY,17.25,16.65,16.95
2018/04/10,MUFG,CNY,JPY,17.23,16.63,16.93
2018/04/11,MUFG,CNY,JPY,17.35,16.75,17.05
2018/04/12,MUFG,CNY,JPY,17.36,16.76,17.06
2018/04/13,MUFG,CNY,JPY,17.41,16.81,17.11
2018/04/16,MUFG,CNY,JPY,17.43,16.83,17.13
2018/04/17,MUFG,CNY,JPY,17.38,16.78,17.08
2018/04/18,MUFG,CNY,JPY,17.37,16.77,17.07
2018/04/19,MUFG,CNY,JPY,17.43,16.83,17.13
2018/04/20,MUFG,CNY,JPY,17.43,16.83,17.13
2018/04/23,MUFG,CNY,JPY,17.47,16.87,17.17
2018/04/24,MUFG,CNY,JPY,17.53,16.93,17.23
2018/04/25,MUFG,CNY,JPY,17.58,16.98,17.28
2018/04/26,MUFG,CNY,JPY,17.62,17.02,17.32
2018/04/27,MUFG,CNY,JPY,17.59,16.99,17.29
2018/05/01,MUFG,CNY,JPY,17.62,17.02,17.32
2018/05/02,MUFG,CNY,JPY,17.62,17.02,17.32
2018/05/07,MUFG,CNY,JPY,17.44,16.84,17.14
2018/05/08,MUFG,CNY,JPY,17.43,16.83,17.13
2018/05/09,MUFG,CNY,JPY,17.45,16.85,17.15
2018/05/10,MUFG,CNY,JPY,17.57,16.97,17.27
2018/05/11,MUFG,CNY,JPY,17.59,16.99,17.29
2018/05/14,MUFG,CNY,JPY,17.58,16.98,17.28
2018/05/15,MUFG,CNY,JPY,17.62,17.02,17.32
2018/05/16,MUFG,CNY,JPY,17.63,17.03,17.33
2018/05/17,MUFG,CNY,JPY,17.67,17.07,17.37
2018/05/18,MUFG,CNY,JPY,17.76,17.16,17.46
2018/05/21,MUFG,CNY,JPY,17.74,17.14,17.44
2018/05/22,MUFG,CNY,JPY,17.75,17.15,17.45
2018/05/23,MUFG,CNY,JPY,17.74,17.14,17.44
2018/05/24,MUFG,CNY,JPY,17.5,16.9,17.2
2018/05/25,MUFG,CNY,JPY,17.48,16.88,17.18
2018/05/28,MUFG,CNY,JPY,17.46,16.86,17.16
2018/05/29,MUFG,CNY,JPY,17.35,16.75,17.05
2018/05/30,MUFG,CNY,JPY,17.17,16.57,16.87
2018/05/31,MUFG,CNY,JPY,17.29,16.69,16.99
2018/06/01,MUFG,CNY,JPY,17.32,16.72,17.02
2018/06/04,MUFG,CNY,JPY,17.39,16.79,17.09
2018/06/05,MUFG,CNY,JPY,17.46,16.86,17.16
2018/06/06,MUFG,CNY,JPY,17.48,16.88,17.18
2018/06/07,MUFG,CNY,JPY,17.57,16.97,17.27
2018/06/08,MUFG,CNY,JPY,17.5,16.9,17.2
2018/06/11,MUFG,CNY,JPY,17.41,16.81,17.11
2018/06/12,MUFG,CNY,JPY,17.53,16.93,17.23
2018/06/13,MUFG,CNY,JPY,17.55,16.95,17.25
2018/06/14,MUFG,CNY,JPY,17.57,16.97,17.27
2018/06/15,MUFG,CNY,JPY,17.54,16.94,17.24
2018/06/18,MUFG,CNY,JPY,17.46,16.86,17.16
2018/06/19,MUFG,CNY,JPY,17.35,16.75,17.05
2018/06/20,MUFG,CNY,JPY,17.3,16.7,17.
2018/06/21,MUFG,CNY,JPY,17.35,16.75,17.05
2018/06/22,MUFG,CNY,JPY,17.24,16.64,16.94
2018/06/25,MUFG,CNY,JPY,17.1,16.5,16.8
2018/06/26,MUFG,CNY,JPY,17.05,16.45,16.75
2018/06/27,MUFG,CNY,JPY,17.,16.4,16.7
2018/06/28,MUFG,CNY,JPY,16.92,16.32,16.62
2018/06/29,MUFG,CNY,JPY,16.96,16.36,16.66
2018/07/02,MUFG,CNY,JPY,17.01,16.41,16.71
2018/07/03,MUFG,CNY,JPY,16.88,16.28,16.58
2018/07/04,MUFG,CNY,JPY,16.87,16.27,16.57
2018/07/05,MUFG,CNY,JPY,16.92,16.32,16.62
2018/07/06,MUFG,CNY,JPY,16.93,16.33,16.63
2018/07/09,MUFG,CNY,JPY,16.9,16.3,16.6
2018/07/10,MUFG,CNY,JPY,17.11,16.51,16.81
2018/07/11,MUFG,CNY,JPY,16.89,16.29,16.59
2018/07/12,MUFG,CNY,JPY,16.99,16.39,16.69
2018/07/13,MUFG,CNY,JPY,17.19,16.59,16.89
2018/07/17,MUFG,CNY,JPY,17.08,16.48,16.78
2018/07/18,MUFG,CNY,JPY,17.11,16.51,16.81
2018/07/19,MUFG,CNY,JPY,17.03,16.43,16.73
2018/07/20,MUFG,CNY,JPY,16.9,16.3,16.6
2018/07/23,MUFG,CNY,JPY,16.69,16.09,16.39
2018/07/24,MUFG,CNY,JPY,16.58,15.98,16.28
2018/07/25,MUFG,CNY,JPY,16.64,16.04,16.34
2018/07/26,MUFG,CNY,JPY,16.7,16.1,16.4
2018/07/27,MUFG,CNY,JPY,16.57,15.97,16.27
2018/07/30,MUFG,CNY,JPY,16.57,15.97,16.27
2018/07/31,MUFG,CNY,JPY,16.54,15.94,16.24
2018/08/01,MUFG,CNY,JPY,16.7,16.1,16.4
2018/08/02,MUFG,CNY,JPY,16.67,16.07,16.37
2018/08/03,MUFG,CNY,JPY,16.56,15.96,16.26
2018/08/06,MUFG,CNY,JPY,16.56,15.96,16.26
2018/08/07,MUFG,CNY,JPY,16.52,15.92,16.22
2018/08/08,MUFG,CNY,JPY,16.65,16.05,16.35
2018/08/09,MUFG,CNY,JPY,16.54,15.94,16.24
2018/08/10,MUFG,CNY,JPY,16.51,15.91,16.21
2018/08/13,MUFG,CNY,JPY,16.39,15.79,16.09
2018/08/14,MUFG,CNY,JPY,16.36,15.76,16.06
2018/08/15,MUFG,CNY,JPY,16.44,15.84,16.14
2018/08/16,MUFG,CNY,JPY,16.22,15.62,15.92
2018/08/17,MUFG,CNY,JPY,16.46,15.86,16.16
2018/08/20,MUFG,CNY,JPY,16.47,15.87,16.17
2018/08/21,MUFG,CNY,JPY,16.39,15.79,16.09
2018/08/22,MUFG,CNY,JPY,16.43,15.83,16.13
2018/08/23,MUFG,CNY,JPY,16.45,15.85,16.15
2018/08/24,MUFG,CNY,JPY,16.52,15.92,16.22
2018/08/27,MUFG,CNY,JPY,16.66,16.06,16.36
2018/08/28,MUFG,CNY,JPY,16.67,16.07,16.37
2018/08/29,MUFG,CNY,JPY,16.64,16.04,16.34
2018/08/30,MUFG,CNY,JPY,16.68,16.08,16.38
2018/08/31,MUFG,CNY,JPY,16.48,15.88,16.18
2018/09/03,MUFG,CNY,JPY,16.49,15.89,16.19
2018/09/04,MUFG,CNY,JPY,16.54,15.94,16.24
2018/09/05,MUFG,CNY,JPY,16.58,15.98,16.28
2018/09/06,MUFG,CNY,JPY,16.56,15.96,16.26
2018/09/07,MUFG,CNY,JPY,16.47,15.87,16.17
2018/09/10,MUFG,CNY,JPY,16.47,15.87,16.17
2018/09/11,MUFG,CNY,JPY,16.52,15.92,16.22
2018/09/12,MUFG,CNY,JPY,16.51,15.91,16.21
