date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/12/01,MUFG,CNY,JPY,21.01,20.41,20.71
2023/12/04,MUFG,CNY,JPY,20.83,20.23,20.53
2023/12/05,MUFG,CNY,JPY,20.89,20.29,20.59
2023/12/06,MUFG,CNY,JPY,20.85,20.25,20.55
2023/12/07,MUFG,CNY,JPY,20.82,20.22,20.52
2023/12/08,MUFG,CNY,JPY,20.32,19.72,20.02
2023/12/11,MUFG,CNY,JPY,20.53,19.93,20.23
2023/12/12,MUFG,CNY,JPY,20.6,20.,20.3
2023/12/13,MUFG,CNY,JPY,20.55,19.95,20.25
2023/12/14,MUFG,CNY,JPY,20.26,19.66,19.96
2023/12/15,MUFG,CNY,JPY,20.3,19.7,20.
2023/12/18,MUFG,CNY,JPY,20.25,19.65,19.95
2023/12/19,MUFG,CNY,JPY,20.28,19.68,19.98
2023/12/20,MUFG,CNY,JPY,20.51,19.91,20.21
2023/12/21,MUFG,CNY,JPY,20.36,19.76,20.06
2023/12/22,MUFG,CNY,JPY,20.2,19.6,19.9
2023/12/25,MUFG,CNY,JPY,20.18,19.58,19.88
2023/12/26,MUFG,CNY,JPY,20.19,19.59,19.89
2023/12/27,MUFG,CNY,JPY,20.29,19.69,19.99
2023/12/28,MUFG,CNY,JPY,20.16,19.56,19.86
2023/12/29,MUFG,CNY,JPY,20.23,19.63,19.93
