date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/10/01,MUFG,CZK,JPY,4.69,4.45,4.57
2019/10/02,MUFG,CZK,JPY,4.69,4.45,4.57
2019/10/03,MUFG,CZK,JPY,4.67,4.43,4.55
2019/10/04,MUFG,CZK,JPY,4.68,4.44,4.56
2019/10/07,MUFG,CZK,JPY,4.68,4.44,4.56
2019/10/08,MUFG,CZK,JPY,4.69,4.45,4.57
2019/10/09,MUFG,CZK,JPY,4.68,4.44,4.56
2019/10/10,MUFG,CZK,JPY,4.69,4.45,4.57
2019/10/11,MUFG,CZK,JPY,4.73,4.49,4.61
2019/10/15,MUFG,CZK,JPY,4.75,4.51,4.63
2019/10/16,MUFG,CZK,JPY,4.77,4.53,4.65
2019/10/17,MUFG,CZK,JPY,4.8,4.56,4.68
2019/10/18,MUFG,CZK,JPY,4.83,4.59,4.71
2019/10/21,MUFG,CZK,JPY,4.85,4.61,4.73
2019/10/23,MUFG,CZK,JPY,4.84,4.6,4.72
2019/10/24,MUFG,CZK,JPY,4.85,4.61,4.73
2019/10/25,MUFG,CZK,JPY,4.84,4.6,4.72
2019/10/28,MUFG,CZK,JPY,4.84,4.6,4.72
2019/10/29,MUFG,CZK,JPY,4.86,4.62,4.74
2019/10/30,MUFG,CZK,JPY,4.86,4.62,4.74
2019/10/31,MUFG,CZK,JPY,4.88,4.64,4.76
