date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/01/04,MUFG,CZK,JPY,5.88,5.64,5.76
2023/01/05,MUFG,CZK,JPY,5.98,5.74,5.86
2023/01/06,MUFG,CZK,JPY,5.98,5.74,5.86
2023/01/10,MUFG,CZK,JPY,6.03,5.79,5.91
2023/01/11,MUFG,CZK,JPY,6.06,5.82,5.94
2023/01/12,MUFG,CZK,JPY,6.04,5.8,5.92
2023/01/13,MUFG,CZK,JPY,5.96,5.72,5.84
2023/01/16,MUFG,CZK,JPY,5.91,5.67,5.79
2023/01/17,MUFG,CZK,JPY,5.91,5.67,5.79
2023/01/18,MUFG,CZK,JPY,6.03,5.79,5.91
2023/01/19,MUFG,CZK,JPY,5.91,5.67,5.79
2023/01/20,MUFG,CZK,JPY,5.95,5.71,5.83
2023/01/23,MUFG,CZK,JPY,6.01,5.77,5.89
2023/01/24,MUFG,CZK,JPY,6.07,5.83,5.95
2023/01/25,MUFG,CZK,JPY,6.07,5.83,5.95
2023/01/26,MUFG,CZK,JPY,6.06,5.82,5.94
2023/01/27,MUFG,CZK,JPY,6.06,5.82,5.94
2023/01/30,MUFG,CZK,JPY,6.07,5.83,5.95
2023/01/31,MUFG,CZK,JPY,6.06,5.82,5.94
2023/02/01,MUFG,CZK,JPY,6.06,5.82,5.94
2023/02/02,MUFG,CZK,JPY,6.08,5.84,5.96
2023/02/03,MUFG,CZK,JPY,6.04,5.8,5.92
2023/02/06,MUFG,CZK,JPY,6.12,5.88,6.
2023/02/07,MUFG,CZK,JPY,6.09,5.85,5.97
2023/02/08,MUFG,CZK,JPY,6.04,5.8,5.92
2023/02/09,MUFG,CZK,JPY,6.06,5.82,5.94
2023/02/10,MUFG,CZK,JPY,6.09,5.85,5.97
2023/02/13,MUFG,CZK,JPY,6.05,5.81,5.93
2023/02/14,MUFG,CZK,JPY,6.1,5.86,5.98
2023/02/15,MUFG,CZK,JPY,6.14,5.9,6.02
2023/02/16,MUFG,CZK,JPY,6.2,5.96,6.08
2023/02/17,MUFG,CZK,JPY,6.18,5.94,6.06
2023/02/20,MUFG,CZK,JPY,6.18,5.94,6.06
2023/02/21,MUFG,CZK,JPY,6.18,5.94,6.06
2023/02/22,MUFG,CZK,JPY,6.18,5.94,6.06
2023/02/24,MUFG,CZK,JPY,6.14,5.9,6.02
2023/02/27,MUFG,CZK,JPY,6.21,5.97,6.09
2023/02/28,MUFG,CZK,JPY,6.23,5.99,6.11
2023/03/01,MUFG,CZK,JPY,6.27,6.03,6.15
2023/03/02,MUFG,CZK,JPY,6.35,6.11,6.23
2023/03/03,MUFG,CZK,JPY,6.31,6.07,6.19
2023/03/06,MUFG,CZK,JPY,6.28,6.04,6.16
2023/03/07,MUFG,CZK,JPY,6.29,6.05,6.17
2023/03/08,MUFG,CZK,JPY,6.26,6.02,6.14
2023/03/09,MUFG,CZK,JPY,6.26,6.02,6.14
2023/03/10,MUFG,CZK,JPY,6.22,5.98,6.1
2023/03/13,MUFG,CZK,JPY,6.2,5.96,6.08
2023/03/14,MUFG,CZK,JPY,6.15,5.91,6.03
2023/03/15,MUFG,CZK,JPY,6.21,5.97,6.09
2023/03/16,MUFG,CZK,JPY,5.99,5.75,5.87
2023/03/17,MUFG,CZK,JPY,6.04,5.8,5.92
2023/03/20,MUFG,CZK,JPY,6.04,5.8,5.92
2023/03/22,MUFG,CZK,JPY,6.13,5.89,6.01
2023/03/23,MUFG,CZK,JPY,6.14,5.9,6.02
