date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/05/06,MUFG,DKK,JPY,17.94,17.34,17.64
2021/05/07,MUFG,DKK,JPY,18.,17.4,17.7
2021/05/10,MUFG,DKK,JPY,18.09,17.49,17.79
2021/05/11,MUFG,DKK,JPY,18.08,17.48,17.78
2021/05/12,MUFG,DKK,JPY,18.06,17.46,17.76
2021/05/13,MUFG,DKK,JPY,18.11,17.51,17.81
2021/05/14,MUFG,DKK,JPY,18.1,17.5,17.8
2021/05/17,MUFG,DKK,JPY,18.16,17.56,17.86
2021/05/18,MUFG,DKK,JPY,18.15,17.55,17.85
2021/05/19,MUFG,DKK,JPY,18.23,17.63,17.93
2021/05/20,MUFG,DKK,JPY,18.2,17.6,17.9
2021/05/21,MUFG,DKK,JPY,18.21,17.61,17.91
2021/05/24,MUFG,DKK,JPY,18.15,17.55,17.85
2021/05/25,MUFG,DKK,JPY,18.19,17.59,17.89
2021/05/26,MUFG,DKK,JPY,18.21,17.61,17.91
2021/05/27,MUFG,DKK,JPY,18.18,17.58,17.88
2021/05/28,MUFG,DKK,JPY,18.32,17.72,18.02
2021/05/31,MUFG,DKK,JPY,18.28,17.68,17.98
