date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2024-01-04,MUFG,DKK,JPY,21.3,20.7,21.
2024-01-05,MUFG,DKK,JPY,21.59,20.99,21.29
2024-01-09,MUFG,DKK,JPY,21.44,20.84,21.14
2024-01-10,MUFG,DKK,JPY,21.51,20.91,21.21
2024-01-11,MUFG,DKK,JPY,21.73,21.13,21.43
2024-01-12,MUFG,DKK,JPY,21.69,21.09,21.39
2024-01-15,MUFG,DKK,JPY,21.62,21.02,21.32
2024-01-16,MUFG,DKK,JPY,21.67,21.07,21.37
2024-01-17,MUFG,DKK,JPY,21.8,21.2,21.5
2024-01-18,MUFG,DKK,JPY,21.94,21.34,21.64
2024-01-19,MUFG,DKK,JPY,21.92,21.32,21.62
2024-01-22,MUFG,DKK,JPY,21.95,21.35,21.65
2024-01-23,MUFG,DKK,JPY,21.92,21.32,21.62
2024-01-24,MUFG,DKK,JPY,21.88,21.28,21.58
2024-01-25,MUFG,DKK,JPY,21.87,21.27,21.57
2024-01-26,MUFG,DKK,JPY,21.78,21.18,21.48
2024-01-29,MUFG,DKK,JPY,21.86,21.26,21.56
2024-01-30,MUFG,DKK,JPY,21.74,21.14,21.44
2024-01-31,MUFG,DKK,JPY,21.76,21.16,21.46
2024-02-01,MUFG,DKK,JPY,21.6,21.,21.3
2024-02-02,MUFG,DKK,JPY,21.67,21.07,21.37
2024-02-05,MUFG,DKK,JPY,21.8,21.2,21.5
2024-02-06,MUFG,DKK,JPY,21.72,21.12,21.42
2024-02-07,MUFG,DKK,JPY,21.63,21.03,21.33
2024-02-08,MUFG,DKK,JPY,21.71,21.11,21.41
2024-02-09,MUFG,DKK,JPY,21.91,21.31,21.61
2024-02-13,MUFG,DKK,JPY,21.89,21.29,21.59
2024-02-14,MUFG,DKK,JPY,21.96,21.36,21.66
2024-02-15,MUFG,DKK,JPY,21.97,21.37,21.67
2024-02-16,MUFG,DKK,JPY,22.,21.4,21.7
2024-02-19,MUFG,DKK,JPY,22.,21.4,21.7
2024-02-20,MUFG,DKK,JPY,22.02,21.42,21.72
2024-02-21,MUFG,DKK,JPY,22.08,21.48,21.78
2024-02-22,MUFG,DKK,JPY,22.17,21.57,21.87
2024-02-26,MUFG,DKK,JPY,22.12,21.52,21.82
2024-02-27,MUFG,DKK,JPY,22.22,21.62,21.92
2024-02-28,MUFG,DKK,JPY,22.2,21.6,21.9
2024-02-29,MUFG,DKK,JPY,22.2,21.6,21.9
2024-03-01,MUFG,DKK,JPY,22.1,21.5,21.8
2024-03-04,MUFG,DKK,JPY,22.14,21.54,21.84
2024-03-05,MUFG,DKK,JPY,22.2,21.6,21.9
2024-03-06,MUFG,DKK,JPY,22.14,21.54,21.84
2024-03-07,MUFG,DKK,JPY,22.09,21.49,21.79
2024-03-08,MUFG,DKK,JPY,22.02,21.42,21.72
2024-03-11,MUFG,DKK,JPY,21.85,21.25,21.55
2024-03-12,MUFG,DKK,JPY,21.82,21.22,21.52
2024-03-13,MUFG,DKK,JPY,21.91,21.31,21.61
2024-03-14,MUFG,DKK,JPY,21.98,21.38,21.68
2024-03-15,MUFG,DKK,JPY,21.98,21.38,21.68
2024-03-18,MUFG,DKK,JPY,22.1,21.5,21.8
2024-03-19,MUFG,DKK,JPY,22.06,21.46,21.76
2024-03-21,MUFG,DKK,JPY,22.4,21.8,22.1
2024-03-22,MUFG,DKK,JPY,22.38,21.78,22.08
2024-03-25,MUFG,DKK,JPY,22.24,21.64,21.94
2024-03-26,MUFG,DKK,JPY,22.29,21.69,21.99
2024-03-27,MUFG,DKK,JPY,22.3,21.7,22.
2024-03-28,MUFG,DKK,JPY,22.28,21.68,21.98
2024-03-29,MUFG,DKK,JPY,22.18,21.58,21.88
2024-04-01,MUFG,DKK,JPY,22.21,21.61,21.91
2024-04-02,MUFG,DKK,JPY,22.15,21.55,21.85
2024-04-03,MUFG,DKK,JPY,22.19,21.59,21.89
2024-04-04,MUFG,DKK,JPY,22.35,21.75,22.05
2024-04-05,MUFG,DKK,JPY,22.25,21.65,21.95
2024-04-08,MUFG,DKK,JPY,22.34,21.74,22.04
2024-04-09,MUFG,DKK,JPY,22.43,21.83,22.13
2024-04-10,MUFG,DKK,JPY,22.4,21.8,22.1
2024-04-11,MUFG,DKK,JPY,22.33,21.73,22.03
2024-04-12,MUFG,DKK,JPY,22.31,21.71,22.01
2024-04-15,MUFG,DKK,JPY,22.2,21.6,21.9
2024-04-16,MUFG,DKK,JPY,22.28,21.68,21.98
2024-04-17,MUFG,DKK,JPY,22.34,21.74,22.04
2024-04-18,MUFG,DKK,JPY,22.38,21.78,22.08
2024-04-19,MUFG,DKK,JPY,22.37,21.77,22.07
2024-04-22,MUFG,DKK,JPY,22.41,21.81,22.11
2024-04-23,MUFG,DKK,JPY,22.42,21.82,22.12
2024-04-24,MUFG,DKK,JPY,22.53,21.93,22.23
2024-04-25,MUFG,DKK,JPY,22.62,22.02,22.32
2024-04-26,MUFG,DKK,JPY,22.7,22.1,22.4
2024-04-30,MUFG,DKK,JPY,22.85,22.25,22.55
2024-05-01,MUFG,DKK,JPY,22.87,22.27,22.57
2024-05-02,MUFG,DKK,JPY,22.72,22.12,22.42
2024-05-07,MUFG,DKK,JPY,22.55,21.95,22.25
2024-05-08,MUFG,DKK,JPY,22.62,22.02,22.32
2024-05-09,MUFG,DKK,JPY,22.72,22.12,22.42
2024-05-10,MUFG,DKK,JPY,22.79,22.19,22.49
2024-05-13,MUFG,DKK,JPY,22.82,22.22,22.52
2024-05-14,MUFG,DKK,JPY,22.91,22.31,22.61
2024-05-15,MUFG,DKK,JPY,23.,22.4,22.7
2024-05-16,MUFG,DKK,JPY,22.77,22.17,22.47
2024-05-17,MUFG,DKK,JPY,22.95,22.35,22.65
2024-05-20,MUFG,DKK,JPY,23.03,22.43,22.73
2024-05-21,MUFG,DKK,JPY,23.08,22.48,22.78
2024-05-22,MUFG,DKK,JPY,23.05,22.45,22.75
2024-05-23,MUFG,DKK,JPY,23.06,22.46,22.76
2024-05-24,MUFG,DKK,JPY,23.07,22.47,22.77
2024-05-27,MUFG,DKK,JPY,23.11,22.51,22.81
