date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/01/04,MUFG,EUR,JPY,124.11,121.11,122.61
2017/01/05,MUFG,EUR,JPY,124.2,121.2,122.7
2017/01/06,MUFG,EUR,JPY,124.02,121.02,122.52
2017/01/10,MUFG,EUR,JPY,124.28,121.28,122.78
2017/01/11,MUFG,EUR,JPY,123.93,120.93,122.43
2017/01/12,MUFG,EUR,JPY,123.39,120.39,121.89
2017/01/13,MUFG,EUR,JPY,123.57,120.57,122.07
2017/01/16,MUFG,EUR,JPY,123.06,120.06,121.56
2017/01/17,MUFG,EUR,JPY,122.56,119.56,121.06
2017/01/18,MUFG,EUR,JPY,122.25,119.25,120.75
2017/01/19,MUFG,EUR,JPY,123.56,120.56,122.06
2017/01/20,MUFG,EUR,JPY,124.23,121.23,122.73
2017/01/23,MUFG,EUR,JPY,123.7,120.7,122.2
2017/01/24,MUFG,EUR,JPY,122.85,119.85,121.35
2017/01/25,MUFG,EUR,JPY,123.49,120.49,121.99
2017/01/26,MUFG,EUR,JPY,123.26,120.26,121.76
2017/01/27,MUFG,EUR,JPY,123.89,120.89,122.39
2017/01/30,MUFG,EUR,JPY,124.55,121.55,123.05
2017/01/31,MUFG,EUR,JPY,123.25,120.25,121.75
