date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/01/04,MUFG,EUR,JPY,127.69,124.69,126.19
2021/01/05,MUFG,EUR,JPY,127.92,124.92,126.42
2021/01/06,MUFG,EUR,JPY,127.93,124.93,126.43
2021/01/07,MUFG,EUR,JPY,128.53,125.53,127.03
2021/01/08,MUFG,EUR,JPY,128.82,125.82,127.32
2021/01/12,MUFG,EUR,JPY,128.23,125.23,126.73
2021/01/13,MUFG,EUR,JPY,128.08,125.08,126.58
2021/01/14,MUFG,EUR,JPY,127.94,124.94,126.44
2021/01/15,MUFG,EUR,JPY,127.72,124.72,126.22
2021/01/18,MUFG,EUR,JPY,126.86,123.86,125.36
2021/01/19,MUFG,EUR,JPY,126.88,123.88,125.38
2021/01/20,MUFG,EUR,JPY,127.7,124.7,126.2
2021/01/21,MUFG,EUR,JPY,127.,124.,125.5
2021/01/22,MUFG,EUR,JPY,127.49,124.49,125.99
2021/01/25,MUFG,EUR,JPY,127.87,124.87,126.37
2021/01/26,MUFG,EUR,JPY,127.4,124.4,125.9
2021/01/27,MUFG,EUR,JPY,127.6,124.6,126.1
2021/01/28,MUFG,EUR,JPY,127.45,124.45,125.95
2021/01/29,MUFG,EUR,JPY,127.98,124.98,126.48
2021/02/01,MUFG,EUR,JPY,128.46,125.46,126.96
2021/02/02,MUFG,EUR,JPY,128.01,125.01,126.51
2021/02/03,MUFG,EUR,JPY,127.96,124.96,126.46
2021/02/04,MUFG,EUR,JPY,127.9,124.9,126.4
2021/02/05,MUFG,EUR,JPY,127.81,124.81,126.31
2021/02/08,MUFG,EUR,JPY,128.52,125.52,127.02
2021/02/09,MUFG,EUR,JPY,128.33,125.33,126.83
2021/02/10,MUFG,EUR,JPY,128.25,125.25,126.75
2021/02/12,MUFG,EUR,JPY,128.49,125.49,126.99
2021/02/15,MUFG,EUR,JPY,128.94,125.94,127.44
2021/02/16,MUFG,EUR,JPY,129.54,126.54,128.04
2021/02/17,MUFG,EUR,JPY,129.85,126.85,128.35
2021/02/18,MUFG,EUR,JPY,128.91,125.91,127.41
2021/02/19,MUFG,EUR,JPY,129.36,126.36,127.86
2021/02/22,MUFG,EUR,JPY,129.41,126.41,127.91
2021/02/24,MUFG,EUR,JPY,129.59,126.59,128.09
2021/02/25,MUFG,EUR,JPY,130.45,127.45,128.95
2021/02/26,MUFG,EUR,JPY,130.65,127.65,129.15
2021/03/01,MUFG,EUR,JPY,130.34,127.34,128.84
2021/03/02,MUFG,EUR,JPY,130.17,127.17,128.67
2021/03/03,MUFG,EUR,JPY,130.58,127.58,129.08
2021/03/04,MUFG,EUR,JPY,130.52,127.52,129.02
