date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/03/01,MUFG,GBP,JPY,144.1,136.1,140.1
2017/03/02,MUFG,GBP,JPY,144.08,136.08,140.08
2017/03/03,MUFG,GBP,JPY,144.32,136.32,140.32
2017/03/06,MUFG,GBP,JPY,143.82,135.82,139.82
2017/03/07,MUFG,GBP,JPY,143.48,135.48,139.48
2017/03/08,MUFG,GBP,JPY,143.08,135.08,139.08
2017/03/09,MUFG,GBP,JPY,143.46,135.46,139.46
2017/03/10,MUFG,GBP,JPY,144.11,136.11,140.11
2017/03/13,MUFG,GBP,JPY,143.74,135.74,139.74
2017/03/14,MUFG,GBP,JPY,144.21,136.21,140.21
2017/03/15,MUFG,GBP,JPY,143.62,135.62,139.62
2017/03/16,MUFG,GBP,JPY,143.13,135.13,139.13
2017/03/17,MUFG,GBP,JPY,144.22,136.22,140.22
2017/03/21,MUFG,GBP,JPY,143.08,135.08,139.08
2017/03/22,MUFG,GBP,JPY,143.43,135.43,139.43
2017/03/23,MUFG,GBP,JPY,143.05,135.05,139.05
2017/03/24,MUFG,GBP,JPY,143.15,135.15,139.15
2017/03/27,MUFG,GBP,JPY,142.25,134.25,138.25
2017/03/28,MUFG,GBP,JPY,143.18,135.18,139.18
2017/03/29,MUFG,GBP,JPY,141.84,133.84,137.84
2017/03/30,MUFG,GBP,JPY,142.54,134.54,138.54
2017/03/31,MUFG,GBP,JPY,144.08,136.08,140.08
