date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/01/04,MUFG,GBP,JPY,159.53,151.53,155.53
2022/01/05,MUFG,GBP,JPY,161.33,153.33,157.33
2022/01/06,MUFG,GBP,JPY,161.25,153.25,157.25
2022/01/07,MUFG,GBP,JPY,160.91,152.91,156.91
2022/01/11,MUFG,GBP,JPY,160.63,152.63,156.63
2022/01/12,MUFG,GBP,JPY,161.29,153.29,157.29
2022/01/13,MUFG,GBP,JPY,161.15,153.15,157.15
2022/01/14,MUFG,GBP,JPY,160.48,152.48,156.48
2022/01/17,MUFG,GBP,JPY,160.35,152.35,156.35
2022/01/18,MUFG,GBP,JPY,160.42,152.42,156.42
2022/01/19,MUFG,GBP,JPY,159.92,151.92,155.92
2022/01/20,MUFG,GBP,JPY,159.74,151.74,155.74
2022/01/21,MUFG,GBP,JPY,158.7,150.7,154.7
2022/01/24,MUFG,GBP,JPY,158.33,150.33,154.33
2022/01/25,MUFG,GBP,JPY,157.7,149.7,153.7
2022/01/26,MUFG,GBP,JPY,157.82,149.82,153.82
2022/01/27,MUFG,GBP,JPY,158.2,150.2,154.2
2022/01/28,MUFG,GBP,JPY,158.6,150.6,154.6
2022/01/31,MUFG,GBP,JPY,158.72,150.72,154.72
2022/02/01,MUFG,GBP,JPY,158.69,150.69,154.69
2022/02/02,MUFG,GBP,JPY,159.15,151.15,155.15
2022/02/03,MUFG,GBP,JPY,159.2,151.2,155.2
2022/02/04,MUFG,GBP,JPY,160.46,152.46,156.46
2022/02/07,MUFG,GBP,JPY,159.99,151.99,155.99
2022/02/08,MUFG,GBP,JPY,160.1,152.1,156.1
2022/02/09,MUFG,GBP,JPY,160.61,152.61,156.61
2022/02/10,MUFG,GBP,JPY,160.39,152.39,156.39
2022/02/14,MUFG,GBP,JPY,160.53,152.53,156.53
2022/02/15,MUFG,GBP,JPY,160.24,152.24,156.24
2022/02/16,MUFG,GBP,JPY,160.7,152.7,156.7
2022/02/17,MUFG,GBP,JPY,160.94,152.94,156.94
2022/02/18,MUFG,GBP,JPY,160.42,152.42,156.42
2022/02/21,MUFG,GBP,JPY,160.56,152.56,156.56
2022/02/22,MUFG,GBP,JPY,160.03,152.03,156.03
2022/02/24,MUFG,GBP,JPY,159.6,151.6,155.6
2022/02/25,MUFG,GBP,JPY,158.66,150.66,154.66
2022/02/28,MUFG,GBP,JPY,158.58,150.58,154.58
2022/03/01,MUFG,GBP,JPY,158.73,150.73,154.73
2022/03/02,MUFG,GBP,JPY,157.3,149.3,153.3
2022/03/03,MUFG,GBP,JPY,158.77,150.77,154.77
2022/03/04,MUFG,GBP,JPY,157.82,149.82,153.82
2022/03/07,MUFG,GBP,JPY,155.94,147.94,151.94
2022/03/08,MUFG,GBP,JPY,155.34,147.34,151.34
2022/03/09,MUFG,GBP,JPY,155.95,147.95,151.95
2022/03/10,MUFG,GBP,JPY,156.85,148.85,152.85
2022/03/11,MUFG,GBP,JPY,156.29,148.29,152.29
2022/03/14,MUFG,GBP,JPY,157.4,149.4,153.4
2022/03/15,MUFG,GBP,JPY,157.88,149.88,153.88
2022/03/16,MUFG,GBP,JPY,158.44,150.44,154.44
2022/03/17,MUFG,GBP,JPY,160.57,152.57,156.57
2022/03/18,MUFG,GBP,JPY,160.23,152.23,156.23
2022/03/22,MUFG,GBP,JPY,161.66,153.66,157.66
2022/03/23,MUFG,GBP,JPY,164.77,156.77,160.77
2022/03/24,MUFG,GBP,JPY,163.76,155.76,159.76
2022/03/25,MUFG,GBP,JPY,164.94,156.94,160.94
2022/03/28,MUFG,GBP,JPY,164.84,156.84,160.84
2022/03/29,MUFG,GBP,JPY,166.49,158.49,162.49
2022/03/30,MUFG,GBP,JPY,164.35,156.35,160.35
2022/03/31,MUFG,GBP,JPY,164.89,156.89,160.89
2022/04/01,MUFG,GBP,JPY,164.6,156.6,160.6
2022/04/04,MUFG,GBP,JPY,164.49,156.49,160.49
2022/04/05,MUFG,GBP,JPY,164.63,156.63,160.63
2022/04/06,MUFG,GBP,JPY,165.91,157.91,161.91
2022/04/07,MUFG,GBP,JPY,165.71,157.71,161.71
2022/04/08,MUFG,GBP,JPY,165.83,157.83,161.83
2022/04/11,MUFG,GBP,JPY,166.36,158.36,162.36
2022/04/12,MUFG,GBP,JPY,167.5,159.5,163.5
2022/04/13,MUFG,GBP,JPY,167.22,159.22,163.22
2022/04/14,MUFG,GBP,JPY,168.74,160.74,164.74
2022/04/15,MUFG,GBP,JPY,168.99,160.99,164.99
2022/04/18,MUFG,GBP,JPY,169.23,161.23,165.23
2022/04/19,MUFG,GBP,JPY,169.64,161.64,165.64
2022/04/20,MUFG,GBP,JPY,172.49,164.49,168.49
2022/04/21,MUFG,GBP,JPY,171.5,163.5,167.5
2022/04/22,MUFG,GBP,JPY,171.49,163.49,167.49
2022/04/25,MUFG,GBP,JPY,169.21,161.21,165.21
2022/04/26,MUFG,GBP,JPY,166.64,158.64,162.64
2022/04/27,MUFG,GBP,JPY,164.53,156.53,160.53
2022/04/28,MUFG,GBP,JPY,165.54,157.54,161.54
2022/05/02,MUFG,GBP,JPY,167.61,159.61,163.61
2022/05/06,MUFG,GBP,JPY,165.51,157.51,161.51
2022/05/09,MUFG,GBP,JPY,164.94,156.94,160.94
2022/05/10,MUFG,GBP,JPY,164.37,156.37,160.37
2022/05/11,MUFG,GBP,JPY,164.66,156.66,160.66
2022/05/12,MUFG,GBP,JPY,162.93,154.93,158.93
2022/05/13,MUFG,GBP,JPY,161.41,153.41,157.41
2022/05/16,MUFG,GBP,JPY,163.07,155.07,159.07
2022/05/17,MUFG,GBP,JPY,163.47,155.47,159.47
2022/05/18,MUFG,GBP,JPY,165.64,157.64,161.64
2022/05/19,MUFG,GBP,JPY,162.73,154.73,158.73
2022/05/20,MUFG,GBP,JPY,163.3,155.3,159.3
2022/05/23,MUFG,GBP,JPY,164.1,156.1,160.1
2022/05/24,MUFG,GBP,JPY,164.63,156.63,160.63
2022/05/25,MUFG,GBP,JPY,163.03,155.03,159.03
2022/05/26,MUFG,GBP,JPY,164.73,156.73,160.73
2022/05/27,MUFG,GBP,JPY,164.36,156.36,160.36
2022/05/30,MUFG,GBP,JPY,164.39,156.39,160.39
2022/05/31,MUFG,GBP,JPY,165.76,157.76,161.76
2022/06/01,MUFG,GBP,JPY,166.55,158.55,162.55
2022/06/02,MUFG,GBP,JPY,166.37,158.37,162.37
2022/06/03,MUFG,GBP,JPY,167.33,159.33,163.33
2022/06/06,MUFG,GBP,JPY,167.3,159.3,163.3
2022/06/07,MUFG,GBP,JPY,169.5,161.5,165.5
2022/06/08,MUFG,GBP,JPY,171.01,163.01,167.01
2022/06/09,MUFG,GBP,JPY,172.49,164.49,168.49
2022/06/10,MUFG,GBP,JPY,171.71,163.71,167.71
2022/06/13,MUFG,GBP,JPY,169.69,161.69,165.69
2022/06/14,MUFG,GBP,JPY,167.06,159.06,163.06
2022/06/15,MUFG,GBP,JPY,166.21,158.21,162.21
2022/06/16,MUFG,GBP,JPY,167.67,159.67,163.67
2022/06/17,MUFG,GBP,JPY,168.22,160.22,164.22
2022/06/20,MUFG,GBP,JPY,169.36,161.36,165.36
2022/06/21,MUFG,GBP,JPY,169.82,161.82,165.82
2022/06/22,MUFG,GBP,JPY,171.12,163.12,167.12
2022/06/23,MUFG,GBP,JPY,170.87,162.87,166.87
2022/06/24,MUFG,GBP,JPY,169.58,161.58,165.58
2022/06/27,MUFG,GBP,JPY,169.13,161.13,165.13
2022/06/28,MUFG,GBP,JPY,170.21,162.21,166.21
2022/06/29,MUFG,GBP,JPY,169.9,161.9,165.9
2022/06/30,MUFG,GBP,JPY,169.71,161.71,165.71
2022/07/01,MUFG,GBP,JPY,169.38,161.38,165.38
2022/07/04,MUFG,GBP,JPY,167.43,159.43,163.43
2022/07/05,MUFG,GBP,JPY,168.84,160.84,164.84
2022/07/06,MUFG,GBP,JPY,166.33,158.33,162.33
2022/07/07,MUFG,GBP,JPY,166.,158.,162.
2022/07/08,MUFG,GBP,JPY,167.87,159.87,163.87
2022/07/11,MUFG,GBP,JPY,167.89,159.89,163.89
2022/07/12,MUFG,GBP,JPY,167.21,159.21,163.21
2022/07/13,MUFG,GBP,JPY,166.7,158.7,162.7
2022/07/14,MUFG,GBP,JPY,167.67,159.67,163.67
2022/07/15,MUFG,GBP,JPY,168.25,160.25,164.25
2022/07/19,MUFG,GBP,JPY,168.99,160.99,164.99
2022/07/20,MUFG,GBP,JPY,170.01,162.01,166.01
2022/07/21,MUFG,GBP,JPY,169.71,161.71,165.71
2022/07/22,MUFG,GBP,JPY,168.6,160.6,164.6
2022/07/25,MUFG,GBP,JPY,167.48,159.48,163.48
2022/07/26,MUFG,GBP,JPY,168.51,160.51,164.51
2022/07/27,MUFG,GBP,JPY,169.06,161.06,165.06
