date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/01/04,MUFG,HKD,JPY,14.18,13.32,13.75
2019/01/07,MUFG,HKD,JPY,14.28,13.42,13.85
2019/01/08,MUFG,HKD,JPY,14.31,13.45,13.88
2019/01/09,MUFG,HKD,JPY,14.3,13.44,13.87
2019/01/10,MUFG,HKD,JPY,14.23,13.37,13.8
2019/01/11,MUFG,HKD,JPY,14.27,13.41,13.84
2019/01/15,MUFG,HKD,JPY,14.25,13.39,13.82
2019/01/16,MUFG,HKD,JPY,14.25,13.39,13.82
2019/01/17,MUFG,HKD,JPY,14.32,13.46,13.89
2019/01/18,MUFG,HKD,JPY,14.38,13.52,13.95
2019/01/21,MUFG,HKD,JPY,14.41,13.55,13.98
2019/01/22,MUFG,HKD,JPY,14.41,13.55,13.98
2019/01/23,MUFG,HKD,JPY,14.38,13.52,13.95
2019/01/24,MUFG,HKD,JPY,14.39,13.53,13.96
2019/01/25,MUFG,HKD,JPY,14.42,13.56,13.99
2019/01/28,MUFG,HKD,JPY,14.37,13.51,13.94
2019/01/29,MUFG,HKD,JPY,14.35,13.49,13.92
2019/01/30,MUFG,HKD,JPY,14.38,13.52,13.95
2019/01/31,MUFG,HKD,JPY,14.32,13.46,13.89
2019/02/01,MUFG,HKD,JPY,14.32,13.46,13.89
2019/02/04,MUFG,HKD,JPY,14.39,13.53,13.96
2019/02/05,MUFG,HKD,JPY,14.45,13.59,14.02
2019/02/06,MUFG,HKD,JPY,14.43,13.57,14.
2019/02/07,MUFG,HKD,JPY,14.44,13.58,14.01
2019/02/08,MUFG,HKD,JPY,14.43,13.57,14.
2019/02/12,MUFG,HKD,JPY,14.52,13.66,14.09
2019/02/13,MUFG,HKD,JPY,14.52,13.66,14.09
2019/02/14,MUFG,HKD,JPY,14.57,13.71,14.14
2019/02/15,MUFG,HKD,JPY,14.5,13.64,14.07
2019/02/18,MUFG,HKD,JPY,14.51,13.65,14.08
2019/02/19,MUFG,HKD,JPY,14.51,13.65,14.08
2019/02/20,MUFG,HKD,JPY,14.54,13.68,14.11
2019/02/21,MUFG,HKD,JPY,14.53,13.67,14.1
2019/02/22,MUFG,HKD,JPY,14.55,13.69,14.12
2019/02/25,MUFG,HKD,JPY,14.54,13.68,14.11
2019/02/26,MUFG,HKD,JPY,14.57,13.71,14.14
2019/02/27,MUFG,HKD,JPY,14.52,13.66,14.09
2019/02/28,MUFG,HKD,JPY,14.56,13.7,14.13
2019/03/01,MUFG,HKD,JPY,14.64,13.78,14.21
2019/03/04,MUFG,HKD,JPY,14.7,13.84,14.27
2019/03/05,MUFG,HKD,JPY,14.69,13.83,14.26
2019/03/06,MUFG,HKD,JPY,14.67,13.81,14.24
2019/03/07,MUFG,HKD,JPY,14.66,13.8,14.23
2019/03/08,MUFG,HKD,JPY,14.64,13.78,14.21
2019/03/11,MUFG,HKD,JPY,14.56,13.7,14.13
2019/03/12,MUFG,HKD,JPY,14.63,13.77,14.2
2019/03/13,MUFG,HKD,JPY,14.61,13.75,14.18
2019/03/14,MUFG,HKD,JPY,14.61,13.75,14.18
2019/03/15,MUFG,HKD,JPY,14.69,13.83,14.26
2019/03/18,MUFG,HKD,JPY,14.64,13.78,14.21
2019/03/19,MUFG,HKD,JPY,14.61,13.75,14.18
2019/03/20,MUFG,HKD,JPY,14.65,13.79,14.22
2019/03/22,MUFG,HKD,JPY,14.54,13.68,14.11
2019/03/25,MUFG,HKD,JPY,14.44,13.58,14.01
2019/03/26,MUFG,HKD,JPY,14.47,13.61,14.04
2019/03/27,MUFG,HKD,JPY,14.51,13.65,14.08
2019/03/28,MUFG,HKD,JPY,14.49,13.63,14.06
2019/03/29,MUFG,HKD,JPY,14.57,13.71,14.14
2019/04/01,MUFG,HKD,JPY,14.58,13.72,14.15
2019/04/02,MUFG,HKD,JPY,14.63,13.77,14.2
2019/04/03,MUFG,HKD,JPY,14.64,13.78,14.21
2019/04/04,MUFG,HKD,JPY,14.64,13.78,14.21
2019/04/05,MUFG,HKD,JPY,14.68,13.82,14.25
2019/04/08,MUFG,HKD,JPY,14.63,13.77,14.2
2019/04/09,MUFG,HKD,JPY,14.63,13.77,14.2
2019/04/10,MUFG,HKD,JPY,14.61,13.75,14.18
2019/04/11,MUFG,HKD,JPY,14.61,13.75,14.18
2019/04/12,MUFG,HKD,JPY,14.68,13.82,14.25
2019/04/15,MUFG,HKD,JPY,14.71,13.85,14.28
2019/04/16,MUFG,HKD,JPY,14.72,13.86,14.29
2019/04/17,MUFG,HKD,JPY,14.73,13.87,14.3
2019/04/18,MUFG,HKD,JPY,14.71,13.85,14.28
2019/04/19,MUFG,HKD,JPY,14.71,13.85,14.28
2019/04/22,MUFG,HKD,JPY,14.7,13.84,14.27
2019/04/23,MUFG,HKD,JPY,14.69,13.83,14.26
2019/04/24,MUFG,HKD,JPY,14.71,13.85,14.28
2019/04/25,MUFG,HKD,JPY,14.75,13.89,14.32
2019/04/26,MUFG,HKD,JPY,14.69,13.83,14.26
2019/05/07,MUFG,HKD,JPY,14.54,13.68,14.11
2019/05/08,MUFG,HKD,JPY,14.47,13.61,14.04
2019/05/09,MUFG,HKD,JPY,14.45,13.59,14.02
2019/05/10,MUFG,HKD,JPY,14.43,13.57,14.
2019/05/13,MUFG,HKD,JPY,14.41,13.55,13.98
2019/05/14,MUFG,HKD,JPY,14.37,13.51,13.94
2019/05/15,MUFG,HKD,JPY,14.4,13.54,13.97
2019/05/16,MUFG,HKD,JPY,14.38,13.52,13.95
2019/05/17,MUFG,HKD,JPY,14.44,13.58,14.01
2019/05/20,MUFG,HKD,JPY,14.47,13.61,14.04
2019/05/21,MUFG,HKD,JPY,14.47,13.61,14.04
2019/05/22,MUFG,HKD,JPY,14.51,13.65,14.08
2019/05/23,MUFG,HKD,JPY,14.48,13.62,14.05
2019/05/24,MUFG,HKD,JPY,14.41,13.55,13.98
2019/05/27,MUFG,HKD,JPY,14.38,13.52,13.95
2019/05/28,MUFG,HKD,JPY,14.39,13.53,13.96
2019/05/29,MUFG,HKD,JPY,14.35,13.49,13.92
2019/05/30,MUFG,HKD,JPY,14.4,13.54,13.97
2019/05/31,MUFG,HKD,JPY,14.37,13.51,13.94
2019/06/03,MUFG,HKD,JPY,14.25,13.39,13.82
2019/06/04,MUFG,HKD,JPY,14.2,13.34,13.77
2019/06/05,MUFG,HKD,JPY,14.22,13.36,13.79
2019/06/06,MUFG,HKD,JPY,14.25,13.39,13.82
2019/06/07,MUFG,HKD,JPY,14.27,13.41,13.84
2019/06/10,MUFG,HKD,JPY,14.27,13.41,13.84
2019/06/11,MUFG,HKD,JPY,14.27,13.41,13.84
2019/06/12,MUFG,HKD,JPY,14.3,13.44,13.87
2019/06/13,MUFG,HKD,JPY,14.31,13.45,13.88
2019/06/14,MUFG,HKD,JPY,14.28,13.42,13.85
2019/06/17,MUFG,HKD,JPY,14.3,13.44,13.87
2019/06/18,MUFG,HKD,JPY,14.29,13.43,13.86
2019/06/19,MUFG,HKD,JPY,14.28,13.42,13.85
2019/06/20,MUFG,HKD,JPY,14.22,13.36,13.79
2019/06/21,MUFG,HKD,JPY,14.18,13.32,13.75
2019/06/24,MUFG,HKD,JPY,14.18,13.32,13.75
