date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/02/01,MUFG,HKD,JPY,13.93,13.07,13.5
2021/02/02,MUFG,HKD,JPY,13.96,13.1,13.53
2021/02/03,MUFG,HKD,JPY,13.98,13.12,13.55
2021/02/04,MUFG,HKD,JPY,13.98,13.12,13.55
2021/02/05,MUFG,HKD,JPY,14.04,13.18,13.61
2021/02/08,MUFG,HKD,JPY,14.04,13.18,13.61
2021/02/09,MUFG,HKD,JPY,14.,13.14,13.57
2021/02/10,MUFG,HKD,JPY,13.93,13.07,13.5
2021/02/12,MUFG,HKD,JPY,13.94,13.08,13.51
2021/02/15,MUFG,HKD,JPY,13.99,13.13,13.56
2021/02/16,MUFG,HKD,JPY,14.04,13.18,13.61
2021/02/17,MUFG,HKD,JPY,14.13,13.27,13.7
2021/02/18,MUFG,HKD,JPY,14.07,13.21,13.64
2021/02/19,MUFG,HKD,JPY,14.07,13.21,13.64
2021/02/22,MUFG,HKD,JPY,14.04,13.18,13.61
2021/02/24,MUFG,HKD,JPY,14.03,13.17,13.6
2021/02/25,MUFG,HKD,JPY,14.11,13.25,13.68
2021/02/26,MUFG,HKD,JPY,14.13,13.27,13.7
