date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/01/04,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/05,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/06,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/07,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/11,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/12,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/13,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/14,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/17,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/18,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/19,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/20,MUFG,HUF,JPY,0.39,0.35,0.37
2022/01/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/25,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/26,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/27,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/01/31,MUFG,HUF,JPY,0.38,0.34,0.36
2022/02/01,MUFG,HUF,JPY,0.38,0.34,0.36
2022/02/02,MUFG,HUF,JPY,0.38,0.34,0.36
2022/02/03,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/04,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/07,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/08,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/09,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/10,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/14,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/15,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/16,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/17,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/18,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/21,MUFG,HUF,JPY,0.39,0.35,0.37
2022/02/22,MUFG,HUF,JPY,0.38,0.34,0.36
2022/02/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/02/25,MUFG,HUF,JPY,0.37,0.33,0.35
2022/02/28,MUFG,HUF,JPY,0.37,0.33,0.35
2022/03/01,MUFG,HUF,JPY,0.37,0.33,0.35
2022/03/02,MUFG,HUF,JPY,0.36,0.32,0.34
2022/03/03,MUFG,HUF,JPY,0.36,0.32,0.34
2022/03/04,MUFG,HUF,JPY,0.35,0.31,0.33
2022/03/07,MUFG,HUF,JPY,0.34,0.3,0.32
2022/03/08,MUFG,HUF,JPY,0.34,0.3,0.32
2022/03/09,MUFG,HUF,JPY,0.35,0.31,0.33
2022/03/10,MUFG,HUF,JPY,0.36,0.32,0.34
2022/03/11,MUFG,HUF,JPY,0.36,0.32,0.34
2022/03/14,MUFG,HUF,JPY,0.36,0.32,0.34
2022/03/15,MUFG,HUF,JPY,0.37,0.33,0.35
2022/03/16,MUFG,HUF,JPY,0.37,0.33,0.35
2022/03/17,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/18,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/22,MUFG,HUF,JPY,0.37,0.33,0.35
2022/03/23,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/25,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/29,MUFG,HUF,JPY,0.38,0.34,0.36
2022/03/30,MUFG,HUF,JPY,0.39,0.35,0.37
2022/03/31,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/01,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/04,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/05,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/06,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/07,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/08,MUFG,HUF,JPY,0.37,0.33,0.35
2022/04/11,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/12,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/13,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/14,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/15,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/18,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/19,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/20,MUFG,HUF,JPY,0.4,0.36,0.38
2022/04/21,MUFG,HUF,JPY,0.4,0.36,0.38
2022/04/22,MUFG,HUF,JPY,0.4,0.36,0.38
2022/04/25,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/26,MUFG,HUF,JPY,0.39,0.35,0.37
2022/04/27,MUFG,HUF,JPY,0.38,0.34,0.36
2022/04/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/02,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/06,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/09,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/10,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/11,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/12,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/13,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/16,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/17,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/18,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/19,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/20,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/23,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/25,MUFG,HUF,JPY,0.38,0.34,0.36
2022/05/26,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/27,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/30,MUFG,HUF,JPY,0.37,0.33,0.35
2022/05/31,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/01,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/02,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/03,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/06,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/07,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/08,MUFG,HUF,JPY,0.39,0.35,0.37
2022/06/09,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/10,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/13,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/14,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/15,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/16,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/17,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/20,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/22,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/23,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/27,MUFG,HUF,JPY,0.37,0.33,0.35
2022/06/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/29,MUFG,HUF,JPY,0.38,0.34,0.36
2022/06/30,MUFG,HUF,JPY,0.38,0.34,0.36
2022/07/01,MUFG,HUF,JPY,0.38,0.34,0.36
2022/07/04,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/05,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/06,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/07,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/08,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/11,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/12,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/13,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/14,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/15,MUFG,HUF,JPY,0.36,0.32,0.34
2022/07/19,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/20,MUFG,HUF,JPY,0.38,0.34,0.36
2022/07/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/07/22,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/25,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/26,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/27,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/28,MUFG,HUF,JPY,0.37,0.33,0.35
2022/07/29,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/01,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/02,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/03,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/04,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/05,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/08,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/09,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/10,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/12,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/15,MUFG,HUF,JPY,0.37,0.33,0.35
2022/08/16,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/17,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/18,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/19,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/22,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/23,MUFG,HUF,JPY,0.35,0.31,0.33
2022/08/24,MUFG,HUF,JPY,0.35,0.31,0.33
2022/08/25,MUFG,HUF,JPY,0.35,0.31,0.33
2022/08/26,MUFG,HUF,JPY,0.35,0.31,0.33
2022/08/29,MUFG,HUF,JPY,0.35,0.31,0.33
2022/08/30,MUFG,HUF,JPY,0.36,0.32,0.34
2022/08/31,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/01,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/02,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/05,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/06,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/07,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/08,MUFG,HUF,JPY,0.39,0.35,0.37
2022/09/09,MUFG,HUF,JPY,0.39,0.35,0.37
2022/09/12,MUFG,HUF,JPY,0.38,0.34,0.36
2022/09/13,MUFG,HUF,JPY,0.38,0.34,0.36
2022/09/14,MUFG,HUF,JPY,0.38,0.34,0.36
2022/09/15,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/16,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/20,MUFG,HUF,JPY,0.38,0.34,0.36
2022/09/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/09/22,MUFG,HUF,JPY,0.37,0.33,0.35
2022/09/26,MUFG,HUF,JPY,0.36,0.32,0.34
2022/09/27,MUFG,HUF,JPY,0.36,0.32,0.34
2022/09/28,MUFG,HUF,JPY,0.36,0.32,0.34
2022/09/29,MUFG,HUF,JPY,0.36,0.32,0.34
2022/09/30,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/03,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/04,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/05,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/06,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/07,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/11,MUFG,HUF,JPY,0.35,0.31,0.33
2022/10/12,MUFG,HUF,JPY,0.35,0.31,0.33
2022/10/13,MUFG,HUF,JPY,0.35,0.31,0.33
2022/10/14,MUFG,HUF,JPY,0.36,0.32,0.34
2022/10/17,MUFG,HUF,JPY,0.37,0.33,0.35
2022/10/18,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/19,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/20,MUFG,HUF,JPY,0.37,0.33,0.35
2022/10/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/24,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/25,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/26,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/27,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/10/31,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/01,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/02,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/04,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/07,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/08,MUFG,HUF,JPY,0.39,0.35,0.37
2022/11/09,MUFG,HUF,JPY,0.39,0.35,0.37
2022/11/10,MUFG,HUF,JPY,0.39,0.35,0.37
2022/11/11,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/14,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/15,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/16,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/17,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/18,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/21,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/22,MUFG,HUF,JPY,0.38,0.34,0.36
2022/11/24,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/25,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/28,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/29,MUFG,HUF,JPY,0.37,0.33,0.35
2022/11/30,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/01,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/02,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/05,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/06,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/07,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/08,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/09,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/12,MUFG,HUF,JPY,0.36,0.32,0.34
2022/12/13,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/14,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/15,MUFG,HUF,JPY,0.38,0.34,0.36
2022/12/16,MUFG,HUF,JPY,0.38,0.34,0.36
2022/12/19,MUFG,HUF,JPY,0.38,0.34,0.36
2022/12/20,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/21,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/22,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/23,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/26,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/27,MUFG,HUF,JPY,0.37,0.33,0.35
2022/12/28,MUFG,HUF,JPY,0.38,0.34,0.36
2022/12/29,MUFG,HUF,JPY,0.38,0.34,0.36
2022/12/30,MUFG,HUF,JPY,0.37,0.33,0.35
