date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025/02/03,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/04,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/05,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/06,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/07,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/10,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/12,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/13,MUFG,HUF,JPY,0.42,0.38,0.4
2025/02/14,MUFG,HUF,JPY,0.42,0.38,0.4
2025/02/17,MUFG,HUF,JPY,0.42,0.38,0.4
2025/02/18,MUFG,HUF,JPY,0.42,0.38,0.4
2025/02/19,MUFG,HUF,JPY,0.42,0.38,0.4
2025/02/20,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/21,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/25,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/26,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/27,MUFG,HUF,JPY,0.41,0.37,0.39
2025/02/28,MUFG,HUF,JPY,0.41,0.37,0.39
