date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/02/01,MUFG,IDR,JPY,0.99,0.75,0.87
2023/02/02,MUFG,IDR,JPY,0.98,0.74,0.86
2023/02/03,MUFG,IDR,JPY,0.99,0.75,0.87
2023/02/06,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/07,MUFG,IDR,JPY,1.,0.76,0.88
2023/02/08,MUFG,IDR,JPY,0.99,0.75,0.87
2023/02/09,MUFG,IDR,JPY,1.,0.76,0.88
2023/02/10,MUFG,IDR,JPY,1.,0.76,0.88
2023/02/13,MUFG,IDR,JPY,0.99,0.75,0.87
2023/02/14,MUFG,IDR,JPY,0.99,0.75,0.87
2023/02/15,MUFG,IDR,JPY,1.,0.76,0.88
2023/02/16,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/17,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/20,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/21,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/22,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/24,MUFG,IDR,JPY,1.01,0.77,0.89
2023/02/27,MUFG,IDR,JPY,1.02,0.78,0.9
2023/02/28,MUFG,IDR,JPY,1.02,0.78,0.9
