date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/01/04,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/07,MUFG,INR,JPY,1.72,1.42,1.57
2019/01/08,MUFG,INR,JPY,1.72,1.42,1.57
2019/01/09,MUFG,INR,JPY,1.71,1.41,1.56
2019/01/10,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/11,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/15,MUFG,INR,JPY,1.69,1.39,1.54
2019/01/16,MUFG,INR,JPY,1.69,1.39,1.54
2019/01/17,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/18,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/21,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/22,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/23,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/24,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/25,MUFG,INR,JPY,1.71,1.41,1.56
2019/01/28,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/29,MUFG,INR,JPY,1.7,1.4,1.55
2019/01/30,MUFG,INR,JPY,1.69,1.39,1.54
2019/01/31,MUFG,INR,JPY,1.69,1.39,1.54
2019/02/01,MUFG,INR,JPY,1.7,1.4,1.55
2019/02/04,MUFG,INR,JPY,1.69,1.39,1.54
2019/02/05,MUFG,INR,JPY,1.69,1.39,1.54
2019/02/06,MUFG,INR,JPY,1.7,1.4,1.55
2019/02/07,MUFG,INR,JPY,1.7,1.4,1.55
2019/02/08,MUFG,INR,JPY,1.7,1.4,1.55
2019/02/12,MUFG,INR,JPY,1.71,1.41,1.56
2019/02/13,MUFG,INR,JPY,1.73,1.43,1.58
2019/02/14,MUFG,INR,JPY,1.73,1.43,1.58
2019/02/15,MUFG,INR,JPY,1.72,1.42,1.57
2019/02/18,MUFG,INR,JPY,1.71,1.41,1.56
2019/02/19,MUFG,INR,JPY,1.71,1.41,1.56
2019/02/20,MUFG,INR,JPY,1.71,1.41,1.56
2019/02/21,MUFG,INR,JPY,1.72,1.42,1.57
2019/02/22,MUFG,INR,JPY,1.72,1.42,1.57
2019/02/25,MUFG,INR,JPY,1.72,1.42,1.57
2019/02/26,MUFG,INR,JPY,1.73,1.43,1.58
2019/02/27,MUFG,INR,JPY,1.72,1.42,1.57
2019/02/28,MUFG,INR,JPY,1.72,1.42,1.57
2019/03/01,MUFG,INR,JPY,1.74,1.44,1.59
2019/03/04,MUFG,INR,JPY,1.74,1.44,1.59
2019/03/05,MUFG,INR,JPY,1.74,1.44,1.59
2019/03/06,MUFG,INR,JPY,1.75,1.45,1.6
2019/03/07,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/08,MUFG,INR,JPY,1.75,1.45,1.6
2019/03/11,MUFG,INR,JPY,1.75,1.45,1.6
2019/03/12,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/13,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/14,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/15,MUFG,INR,JPY,1.78,1.48,1.63
2019/03/18,MUFG,INR,JPY,1.78,1.48,1.63
2019/03/19,MUFG,INR,JPY,1.78,1.48,1.63
2019/03/20,MUFG,INR,JPY,1.78,1.48,1.63
2019/03/22,MUFG,INR,JPY,1.77,1.47,1.62
2019/03/25,MUFG,INR,JPY,1.75,1.45,1.6
2019/03/26,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/27,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/28,MUFG,INR,JPY,1.76,1.46,1.61
2019/03/29,MUFG,INR,JPY,1.76,1.46,1.61
2019/04/01,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/02,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/03,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/04,MUFG,INR,JPY,1.79,1.49,1.64
2019/04/05,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/08,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/09,MUFG,INR,JPY,1.76,1.46,1.61
2019/04/10,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/11,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/12,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/15,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/16,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/17,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/18,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/19,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/22,MUFG,INR,JPY,1.78,1.48,1.63
2019/04/23,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/24,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/25,MUFG,INR,JPY,1.77,1.47,1.62
2019/04/26,MUFG,INR,JPY,1.76,1.46,1.61
2019/05/07,MUFG,INR,JPY,1.76,1.46,1.61
2019/05/08,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/09,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/10,MUFG,INR,JPY,1.73,1.43,1.58
2019/05/13,MUFG,INR,JPY,1.73,1.43,1.58
2019/05/14,MUFG,INR,JPY,1.71,1.41,1.56
2019/05/15,MUFG,INR,JPY,1.72,1.42,1.57
2019/05/16,MUFG,INR,JPY,1.72,1.42,1.57
2019/05/17,MUFG,INR,JPY,1.73,1.43,1.58
2019/05/20,MUFG,INR,JPY,1.75,1.45,1.6
2019/05/21,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/22,MUFG,INR,JPY,1.75,1.45,1.6
2019/05/23,MUFG,INR,JPY,1.75,1.45,1.6
2019/05/24,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/27,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/28,MUFG,INR,JPY,1.74,1.44,1.59
2019/05/29,MUFG,INR,JPY,1.73,1.43,1.58
2019/05/30,MUFG,INR,JPY,1.73,1.43,1.58
2019/05/31,MUFG,INR,JPY,1.73,1.43,1.58
2019/06/03,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/04,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/05,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/06,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/07,MUFG,INR,JPY,1.73,1.43,1.58
2019/06/10,MUFG,INR,JPY,1.73,1.43,1.58
2019/06/11,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/12,MUFG,INR,JPY,1.73,1.43,1.58
2019/06/13,MUFG,INR,JPY,1.73,1.43,1.58
2019/06/14,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/17,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/18,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/19,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/20,MUFG,INR,JPY,1.71,1.41,1.56
2019/06/21,MUFG,INR,JPY,1.71,1.41,1.56
2019/06/24,MUFG,INR,JPY,1.7,1.4,1.55
2019/06/25,MUFG,INR,JPY,1.71,1.41,1.56
2019/06/26,MUFG,INR,JPY,1.71,1.41,1.56
2019/06/27,MUFG,INR,JPY,1.72,1.42,1.57
2019/06/28,MUFG,INR,JPY,1.72,1.42,1.57
2019/07/01,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/02,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/03,MUFG,INR,JPY,1.72,1.42,1.57
2019/07/04,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/05,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/08,MUFG,INR,JPY,1.75,1.45,1.6
2019/07/09,MUFG,INR,JPY,1.75,1.45,1.6
2019/07/10,MUFG,INR,JPY,1.75,1.45,1.6
2019/07/11,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/12,MUFG,INR,JPY,1.75,1.45,1.6
2019/07/16,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/17,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/18,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/19,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/22,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/23,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/24,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/25,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/26,MUFG,INR,JPY,1.73,1.43,1.58
2019/07/29,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/30,MUFG,INR,JPY,1.74,1.44,1.59
2019/07/31,MUFG,INR,JPY,1.74,1.44,1.59
2019/08/01,MUFG,INR,JPY,1.75,1.45,1.6
2019/08/02,MUFG,INR,JPY,1.71,1.41,1.56
2019/08/05,MUFG,INR,JPY,1.69,1.39,1.54
2019/08/06,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/07,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/08,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/09,MUFG,INR,JPY,1.67,1.37,1.52
2019/08/13,MUFG,INR,JPY,1.64,1.34,1.49
2019/08/14,MUFG,INR,JPY,1.66,1.36,1.51
2019/08/15,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/16,MUFG,INR,JPY,1.64,1.34,1.49
2019/08/19,MUFG,INR,JPY,1.66,1.36,1.51
2019/08/20,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/21,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/22,MUFG,INR,JPY,1.65,1.35,1.5
2019/08/23,MUFG,INR,JPY,1.64,1.34,1.49
2019/08/26,MUFG,INR,JPY,1.63,1.33,1.48
2019/08/27,MUFG,INR,JPY,1.63,1.33,1.48
2019/08/28,MUFG,INR,JPY,1.64,1.34,1.49
2019/08/29,MUFG,INR,JPY,1.64,1.34,1.49
2019/08/30,MUFG,INR,JPY,1.65,1.35,1.5
2019/09/02,MUFG,INR,JPY,1.64,1.34,1.49
2019/09/03,MUFG,INR,JPY,1.64,1.34,1.49
2019/09/04,MUFG,INR,JPY,1.63,1.33,1.48
2019/09/05,MUFG,INR,JPY,1.64,1.34,1.49
2019/09/06,MUFG,INR,JPY,1.65,1.35,1.5
2019/09/09,MUFG,INR,JPY,1.65,1.35,1.5
2019/09/10,MUFG,INR,JPY,1.66,1.36,1.51
2019/09/11,MUFG,INR,JPY,1.66,1.36,1.51
2019/09/12,MUFG,INR,JPY,1.67,1.37,1.52
2019/09/13,MUFG,INR,JPY,1.69,1.39,1.54
2019/09/17,MUFG,INR,JPY,1.67,1.37,1.52
2019/09/18,MUFG,INR,JPY,1.67,1.37,1.52
2019/09/19,MUFG,INR,JPY,1.69,1.39,1.54
2019/09/20,MUFG,INR,JPY,1.68,1.38,1.53
2019/09/24,MUFG,INR,JPY,1.68,1.38,1.53
2019/09/25,MUFG,INR,JPY,1.67,1.37,1.52
2019/09/26,MUFG,INR,JPY,1.68,1.38,1.53
2019/09/27,MUFG,INR,JPY,1.68,1.38,1.53
2019/09/30,MUFG,INR,JPY,1.69,1.39,1.54
2019/10/01,MUFG,INR,JPY,1.69,1.39,1.54
2019/10/02,MUFG,INR,JPY,1.67,1.37,1.52
2019/10/03,MUFG,INR,JPY,1.67,1.37,1.52
2019/10/04,MUFG,INR,JPY,1.67,1.37,1.52
2019/10/07,MUFG,INR,JPY,1.67,1.37,1.52
