date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2020/12/01,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/02,MUFG,INR,JPY,1.58,1.28,1.43
2020/12/03,MUFG,INR,JPY,1.58,1.28,1.43
2020/12/04,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/07,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/08,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/09,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/10,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/11,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/14,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/15,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/16,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/17,MUFG,INR,JPY,1.56,1.26,1.41
2020/12/18,MUFG,INR,JPY,1.56,1.26,1.41
2020/12/21,MUFG,INR,JPY,1.56,1.26,1.41
2020/12/22,MUFG,INR,JPY,1.55,1.25,1.4
2020/12/23,MUFG,INR,JPY,1.56,1.26,1.41
2020/12/24,MUFG,INR,JPY,1.56,1.26,1.41
2020/12/25,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/28,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/29,MUFG,INR,JPY,1.57,1.27,1.42
2020/12/30,MUFG,INR,JPY,1.57,1.27,1.42
