date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/07/03,MUFG,KRW,JPY,11.19,10.79,10.99
2023/07/04,MUFG,KRW,JPY,11.33,10.93,11.13
2023/07/05,MUFG,KRW,JPY,11.33,10.93,11.13
2023/07/06,MUFG,KRW,JPY,11.28,10.88,11.08
2023/07/07,MUFG,KRW,JPY,11.24,10.84,11.04
2023/07/10,MUFG,KRW,JPY,11.15,10.75,10.95
2023/07/11,MUFG,KRW,JPY,11.12,10.72,10.92
2023/07/12,MUFG,KRW,JPY,11.02,10.62,10.82
2023/07/13,MUFG,KRW,JPY,11.06,10.66,10.86
2023/07/14,MUFG,KRW,JPY,11.09,10.69,10.89
2023/07/18,MUFG,KRW,JPY,11.19,10.79,10.99
2023/07/19,MUFG,KRW,JPY,11.21,10.81,11.01
2023/07/20,MUFG,KRW,JPY,11.25,10.85,11.05
2023/07/21,MUFG,KRW,JPY,11.18,10.78,10.98
2023/07/24,MUFG,KRW,JPY,11.24,10.84,11.04
2023/07/25,MUFG,KRW,JPY,11.23,10.83,11.03
2023/07/26,MUFG,KRW,JPY,11.24,10.84,11.04
2023/07/27,MUFG,KRW,JPY,11.26,10.86,11.06
2023/07/28,MUFG,KRW,JPY,11.1,10.7,10.9
2023/07/31,MUFG,KRW,JPY,11.25,10.85,11.05
