date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2024-12-10,MUFG,KRW,JPY,10.82,10.42,10.62
2024-12-11,MUFG,KRW,JPY,10.82,10.42,10.62
2024-12-12,MUFG,KRW,JPY,10.86,10.46,10.66
2024-12-13,MUFG,KRW,JPY,10.91,10.51,10.71
2024-12-16,MUFG,KRW,JPY,10.94,10.54,10.74
2024-12-17,MUFG,KRW,JPY,10.95,10.55,10.75
2024-12-18,MUFG,KRW,JPY,10.9,10.5,10.7
2024-12-19,MUFG,KRW,JPY,10.91,10.51,10.71
2024-12-20,MUFG,KRW,JPY,11.11,10.71,10.91
2024-12-23,MUFG,KRW,JPY,11.05,10.65,10.85
2024-12-24,MUFG,KRW,JPY,11.04,10.64,10.84
2024-12-25,MUFG,KRW,JPY,10.99,10.59,10.79
2024-12-26,MUFG,KRW,JPY,11.,10.6,10.8
2024-12-27,MUFG,KRW,JPY,10.94,10.54,10.74
2024-12-30,MUFG,KRW,JPY,10.96,10.56,10.76
